x,y,value
1,0,clothing
1,1,shoes
2,0,clothing
2,1,shoes
3,0,clothing
3,1,shoes
4,0,handbags
4,1,clothing
5,0,shoes
5,1,clothing
5,2,handbags
6,0,clothing
6,1,handbags
6,2,home&garden
6,3,electronics
7,0,home&garden
7,1,handbags
7,2,clothing
7,3,shoes
8,0,clothing
8,1,shoes
9,0,shoes
9,1,clothing
10,0,tools
10,1,clothing
11,0,clothing
11,1,movies
12,0,handbags
12,1,clothing
13,0,clothing
13,1,shoes
14,0,handbags
14,1,clothing
15,0,handbags
15,1,clothing
16,0,clothing
16,1,handbags
17,0,clothing
17,1,shoes
18,0,electronics
18,1,handbags
18,2,clothing
19,0,movies
19,1,computers
19,2,home&garden
19,3,handbags
19,4,clothing
19,5,shoes
20,0,computers
20,1,home&garden
20,2,handbags
20,3,clothing
20,4,shoes
21,0,shoes
21,1,clothing
22,0,clothing
22,1,shoes
23,0,clothing
23,1,tools
24,0,electronics
24,1,computers
24,2,home&garden
24,3,handbags
24,4,clothing
25,0,shoes
25,1,handbags
25,2,clothing
26,0,handbags
26,1,home&garden
26,2,clothing
27,0,computers
27,1,home&garden
27,2,handbags
27,3,clothing
28,0,handbags
28,1,clothing
28,2,shoes
29,0,clothing
29,1,shoes
30,0,clothing
30,1,shoes
31,0,clothing
31,1,shoes
32,0,clothing
32,1,shoes
33,0,handbags
33,1,clothing
34,0,clothing
34,1,electronics
35,0,clothing
35,1,shoes
36,0,clothing
36,1,handbags
37,0,handbags
37,1,clothing
38,0,shoes
38,1,clothing
38,2,handbags
39,0,handbags
39,1,clothing
40,0,clothing
40,1,electronics
41,0,handbags
41,1,clothing
42,0,clothing
42,1,handbags
43,0,clothing
43,1,movies
44,0,handbags
44,1,clothing
45,0,shoes
45,1,clothing
46,0,clothing
46,1,shoes
47,0,shoes
47,1,clothing
48,0,clothing
48,1,movies
49,0,handbags
49,1,clothing
50,0,clothing
50,1,handbags
51,0,handbags
51,1,clothing
52,0,home&garden
52,1,handbags
52,2,clothing
52,3,shoes
53,0,handbags
53,1,clothing
53,2,shoes
54,0,clothing
54,1,home&garden
54,2,handbags
55,0,clothing
55,1,shoes
56,0,clothing
56,1,computers
56,2,home&garden
56,3,handbags
57,0,computers
57,1,home&garden
57,2,handbags
57,3,clothing
58,0,handbags
58,1,clothing
58,2,shoes
59,0,home&garden
59,1,handbags
59,2,clothing
60,0,handbags
60,1,clothing
61,0,clothing
61,1,handbags
62,0,clothing
62,1,shoes
63,0,clothing
63,1,shoes
64,0,clothing
64,1,shoes
65,0,clothing
65,1,shoes
66,0,clothing
66,1,home&garden
66,2,handbags
67,0,clothing
67,1,handbags
68,0,handbags
68,1,clothing
69,0,handbags
69,1,clothing
70,0,home&garden
70,1,handbags
70,2,clothing
71,0,clothing
71,1,tools
72,0,clothing
72,1,tools
73,0,clothing
73,1,handbags
74,0,shoes
74,1,clothing
75,0,handbags
75,1,clothing
76,0,clothing
76,1,shoes
77,0,home&garden
77,1,clothing
78,0,handbags
78,1,clothing
79,0,handbags
79,1,clothing
80,0,shoes
80,1,clothing
81,0,clothing
81,1,shoes
82,0,handbags
82,1,clothing
83,0,clothing
83,1,shoes
84,0,clothing
84,1,computers
84,2,movies
84,3,electronics
85,0,clothing
85,1,shoes
86,0,shoes
86,1,clothing
87,0,shoes
87,1,handbags
87,2,clothing
88,0,computers
88,1,home&garden
88,2,handbags
88,3,clothing
88,4,shoes
89,0,home&garden
89,1,handbags
89,2,clothing
89,3,shoes
90,0,clothing
90,1,shoes
91,0,handbags
91,1,clothing
92,0,clothing
92,1,movies
92,2,electronics
93,0,handbags
93,1,clothing
94,0,clothing
94,1,home&garden
94,2,handbags
95,0,clothing
95,1,shoes
96,0,handbags
96,1,clothing
97,0,clothing
97,1,shoes
98,0,shoes
98,1,clothing
99,0,clothing
99,1,shoes
100,0,movies
100,1,clothing
101,0,clothing
101,1,shoes
102,0,clothing
102,1,home&garden
103,0,clothing
103,1,shoes
104,0,clothing
104,1,shoes
105,0,clothing
105,1,handbags
106,0,shoes
106,1,clothing
107,0,handbags
107,1,clothing
108,0,handbags
108,1,clothing
109,0,clothing
109,1,handbags
110,0,clothing
110,1,shoes
111,0,home&garden
111,1,handbags
111,2,clothing
112,0,clothing
112,1,shoes
113,0,clothing
113,1,shoes
114,0,clothing
114,1,shoes
115,0,handbags
115,1,clothing
116,0,handbags
116,1,clothing
117,0,clothing
117,1,handbags
118,0,clothing
118,1,handbags
119,0,handbags
119,1,clothing
119,2,shoes
120,0,clothing
120,1,handbags
121,0,clothing
121,1,shoes
122,0,handbags
122,1,clothing
123,0,clothing
123,1,shoes
124,0,handbags
124,1,clothing
125,0,clothing
125,1,home&garden
126,0,clothing
126,1,shoes
127,0,handbags
127,1,clothing
128,0,computers
128,1,home&garden
128,2,handbags
128,3,clothing
129,0,clothing
129,1,shoes
130,0,clothing
130,1,shoes
131,0,clothing
131,1,shoes
132,0,clothing
132,1,shoes
133,0,handbags
133,1,clothing
134,0,clothing
134,1,handbags
135,0,clothing
135,1,shoes
136,0,clothing
136,1,shoes
137,0,handbags
137,1,clothing
137,2,shoes
138,0,clothing
138,1,handbags
139,0,clothing
139,1,shoes
140,0,clothing
140,1,tools
141,0,home&garden
141,1,handbags
141,2,clothing
142,0,clothing
142,1,shoes
143,0,handbags
143,1,clothing
144,0,shoes
144,1,clothing
145,0,electronics
145,1,clothing
146,0,home&garden
146,1,handbags
146,2,clothing
147,0,clothing
147,1,shoes
148,0,clothing
148,1,clothing
149,0,shoes
149,1,handbags
149,2,clothing
150,0,shoes
150,1,clothing
151,0,clothing
151,1,handbags
152,0,clothing
152,1,shoes
153,0,clothing
153,1,home&garden
154,0,handbags
154,1,clothing
155,0,clothing
155,1,clothing
156,0,handbags
156,1,clothing
157,0,clothing
