x,count
1,1304
2,1304
3,1304
4,1304
5,1304
6,1304
7,1304
8,1304
9,1304
10,1304
11,1304
12,1304
13,1032
14,1032
15,1032
16,1032
17,15
18,15
19,15
20,15
21,15
22,6
23,6
24,6
25,6
26,6
27,6
28,108
29,108
30,108
31,108
32,108
33,108
34,1304
35,1304
36,1304
37,1304
38,468
39,468
40,468
41,468
42,44
43,44
44,44
45,44
46,100
47,100
48,100
49,100
50,1032
51,1032
52,1032
53,1032
54,1304
55,1304
56,1304
57,1304
58,1032
59,1032
60,1032
61,1032
62,1032
63,1032
64,1032
65,1032
66,424
67,424
68,424
69,424
70,1304
71,1304
72,1304
73,1304
74,5
75,5
76,5
77,5
78,5
79,40
80,40
81,40
82,40
83,40
84,40
85,40
86,40
87,63
88,63
89,63
90,63
91,63
92,63
93,63
94,468
95,468
96,468
97,468
98,1304
99,1304
100,1304
101,1304
102,96
103,96
104,96
105,96
106,105
107,105
108,105
109,105
110,105
111,105
112,105
113,55
114,55
115,55
116,55
117,55
118,10
119,10
120,10
121,10
122,10
123,132
124,132
125,132
126,132
127,132
128,132
129,170
130,170
131,170
132,170
133,170
134,1304
135,1304
136,1304
137,1304
138,1304
139,1304
140,1304
141,1304
142,1304
143,1304
144,1304
145,1304
146,1304
147,1304
148,1304
149,1304
150,1032
151,1032
152,1032
153,1032
154,40
155,40
156,40
157,40
158,1304
159,1304
160,1304
161,1304
162,424
163,424
164,424
165,424
166,1032
167,1032
168,1032
169,1032
170,15
171,15
172,15
173,15
174,15
175,1032
176,1032
177,1032
178,1032
179,40
180,40
181,40
182,40
183,1032
184,1032
185,1032
186,1032
187,424
188,424
189,424
190,424
191,100
192,100
193,100
194,100
195,1032
196,1032
197,1032
198,1032
199,468
200,468
201,468
202,468
203,1304
204,1304
205,1304
206,1304
207,468
208,468
209,468
210,468
211,100
212,100
213,100
214,100
215,1032
216,1032
217,1032
218,1032
219,424
220,424
221,424
222,424
223,1032
224,1032
225,1032
226,1032
227,108
228,108
229,108
230,108
231,108
232,108
233,170
234,170
235,170
236,170
237,170
238,85
239,85
240,85
241,85
242,85
243,1304
244,1304
245,1304
246,1304
247,54
248,54
249,54
250,54
251,54
252,54
253,132
254,132
255,132
256,132
257,132
258,132
259,170
260,170
261,170
262,170
263,170
264,315
265,315
266,315
267,315
268,315
269,1032
270,1032
271,1032
272,1032
273,424
274,424
275,424
276,424
277,1304
278,1304
279,1304
280,1304
281,1304
282,1304
283,1304
284,1304
285,1304
286,1304
287,1304
288,1304
289,1304
290,1304
291,1304
292,1304
293,85
294,85
295,85
296,85
297,85
298,424
299,424
300,424
301,424
302,1032
303,1032
304,1032
305,1032
306,1032
307,1032
308,1032
309,1032
310,315
311,315
312,315
313,315
314,315
315,96
316,96
317,96
318,96
319,96
320,96
321,96
322,96
323,424
324,424
325,424
326,424
327,468
328,468
329,468
330,468
331,1032
332,1032
333,1032
334,1032
335,1304
336,1304
337,1304
338,1304
339,120
340,120
341,120
342,120
343,1032
344,1032
345,1032
346,1032
347,1032
348,1032
349,1032
350,1032
351,468
352,468
353,468
354,468
355,1304
356,1304
357,1304
358,1304
359,1032
360,1032
361,1032
362,1032
363,1304
364,1304
365,1304
366,1304
367,6
368,6
369,6
370,6
371,6
372,6
373,1304
374,1304
375,1304
376,1304
377,468
378,468
379,468
380,468
381,55
382,55
383,55
384,55
385,55
386,63
387,63
388,63
389,63
390,63
391,63
392,63
393,108
394,108
395,108
396,108
397,108
398,108
399,1304
400,1304
401,1304
402,1304
403,1032
404,1032
405,1032
406,1032
407,45
408,45
409,45
410,45
411,45
412,1032
413,1032
414,1032
415,1032
416,85
417,85
418,85
419,85
420,85
421,1304
422,1304
423,1304
424,1304
425,1032
426,1032
427,1032
428,1032
429,1304
430,1304
431,1304
432,1304
433,468
434,468
435,468
436,468
437,1304
438,1304
439,1304
440,1304
441,52
442,52
443,52
444,52
445,1304
446,1304
447,1304
448,1304
449,116
450,116
451,116
452,116
453,1304
454,1304
455,1304
456,1304
457,1304
458,1304
459,1304
460,1304
461,424
462,424
463,424
464,424
465,468
466,468
467,468
468,468
469,1032
470,1032
471,1032
472,1032
473,1032
474,1032
475,1032
476,1032
477,424
478,424
479,424
480,424
481,1304
482,1304
483,1304
484,1304
485,315
486,315
487,315
488,315
489,315
490,1304
491,1304
492,1304
493,1304
494,1304
495,1304
496,1304
497,1304
498,1304
499,1304
500,1304
501,1304
502,1032
503,1032
504,1032
505,1032
506,1032
507,1032
508,1032
509,1032
510,424
511,424
512,424
513,424
514,424
515,424
516,424
517,424
518,170
519,170
520,170
521,170
522,170
523,424
524,424
525,424
526,424
527,1304
528,1304
529,1304
530,1304
531,1032
532,1032
533,1032
534,1032
535,1304
536,1304
537,1304
538,1304
539,1032
540,1032
541,1032
542,1032
543,116
544,116
545,116
546,116
547,1304
548,1304
549,1304
550,1304
551,1032
552,1032
553,1032
554,1032
555,132
556,132
557,132
558,132
559,132
560,132
561,1304
562,1304
563,1304
564,1304
565,1304
566,1304
567,1304
568,1304
569,1304
570,1304
571,1304
572,1304
573,1304
574,1304
575,1304
576,1304
577,1032
578,1032
579,1032
580,1032
581,424
582,424
583,424
584,424
585,1304
586,1304
587,1304
588,1304
589,1304
590,1304
591,1304
592,1304
593,170
594,170
595,170
596,170
597,170
598,424
599,424
600,424
601,424
602,1304
603,1304
604,1304
605,1304
606,96
607,96
608,96
609,96
610,315
611,315
612,315
613,315
614,315
615,1304
616,1304
617,1304
618,1304
619,1032
620,1032
621,1032
622,1032
623,468
624,468
625,468
626,468
627,36
628,36
629,36
630,36
631,315
632,315
633,315
634,315
635,315
636,1304
637,1304
638,1304
639,1304
640,28
641,28
642,28
643,28
644,55
645,55
646,55
647,55
648,55
649,468
650,468
651,468
652,468
653,424
654,424
655,424
656,424
657,1304
658,1304
659,1304
660,1304
661,116
662,116
663,116
664,116
665,1032
666,1032
667,1032
668,1032
669,28
670,28
671,28
672,28
673,1032
674,1032
675,1032
676,1032
677,48
678,48
679,48
680,48
681,100
682,100
683,100
684,100
685,116
686,116
687,116
688,116
689,468
690,468
691,468
692,468
693,36
694,36
695,36
696,36
697,40
698,40
699,40
700,40
701,44
702,44
703,44
704,44
705,52
706,52
707,52
708,52
709,120
710,120
711,120
712,120
713,100
714,100
715,100
716,100
717,120
718,120
719,120
720,120
721,1304
722,1304
723,1304
724,1304
725,5
726,5
727,5
728,5
729,5
730,100
731,100
732,100
733,100
734,468
735,468
736,468
737,468
738,1304
739,1304
740,1304
741,1304
742,468
743,468
744,468
745,468
746,1304
747,1304
748,1304
749,1304
