x,y,value
1,0,shoes
1,1,movies
1,2,computers
2,0,computers
2,1,home&garden
3,0,computers
3,1,home&garden
4,0,shoes
4,1,movies
4,2,computers
4,3,home&garden
5,0,computers
5,1,home&garden
6,0,home&garden
6,1,computers
6,2,handbags
7,0,shoes
7,1,movies
7,2,computers
7,3,home&garden
7,4,handbags
8,0,movies
8,1,computers
8,2,home&garden
8,3,handbags
8,4,clothing
8,5,shoes
9,0,computers
9,1,home&garden
9,2,handbags
9,3,clothing
9,4,shoes
10,0,home&garden
10,1,computers
10,2,handbags
11,0,electronics
11,1,computers
11,2,home&garden
11,3,handbags
11,4,clothing
12,0,electronics
12,1,computers
12,2,home&garden
12,3,handbags
13,0,computers
13,1,home&garden
13,2,handbags
14,0,computers
14,1,home&garden
14,2,handbags
14,3,clothing
15,0,computers
15,1,home&garden
16,0,games
16,1,electronics
16,2,computers
16,3,home&garden
16,4,handbags
17,0,electronics
17,1,computers
18,0,home&garden
18,1,computers
19,0,games
19,1,electronics
19,2,computers
20,0,electronics
20,1,computers
20,2,home&garden
20,3,handbags
21,0,movies
21,1,electronics
21,2,computers
22,0,clothing
22,1,computers
22,2,home&garden
22,3,handbags
23,0,computers
23,1,home&garden
23,2,handbags
23,3,clothing
24,0,electronics
24,1,computers
24,2,home&garden
24,3,handbags
25,0,electronics
25,1,computers
26,0,handbags
26,1,electronics
26,2,computers
27,0,computers
27,1,home&garden
28,0,electronics
28,1,computers
28,2,home&garden
28,3,handbags
29,0,clothing
29,1,computers
29,2,movies
29,3,electronics
30,0,computers
30,1,home&garden
30,2,handbags
30,3,clothing
30,4,shoes
31,0,electronics
31,1,computers
32,0,electronics
32,1,computers
33,0,computers
33,1,home&garden
34,0,computers
34,1,home&garden
35,0,games
35,1,computers
35,2,home&garden
35,3,handbags
36,0,computers
36,1,home&garden
37,0,computers
37,1,home&garden
37,2,handbags
38,0,shoes
38,1,computers
39,0,computers
39,1,home&garden
40,0,electronics
40,1,computers
40,2,home&garden
40,3,handbags
41,0,movies
41,1,computers
41,2,home&garden
42,0,movies
42,1,computers
42,2,home&garden
42,3,handbags
43,0,electronics
43,1,computers
43,2,home&garden
44,0,computers
44,1,home&garden
44,2,handbags
45,0,movies
45,1,games
45,2,electronics
45,3,computers
45,4,home&garden
45,5,handbags
46,0,movies
46,1,computers
46,2,shoes
47,0,movies
47,1,computers
47,2,home&garden
47,3,handbags
48,0,computers
48,1,home&garden
49,0,computers
49,1,home&garden
49,2,handbags
50,0,computers
50,1,home&garden
50,2,handbags
50,3,clothing
51,0,computers
51,1,shoes
52,0,computers
52,1,home&garden
52,2,handbags
53,0,computers
53,1,movies
53,2,games
54,0,electronics
54,1,computers
54,2,home&garden
55,0,computers
55,1,home&garden
56,0,shoes
56,1,computers
56,2,home&garden
57,0,home&garden
57,1,handbags
57,2,computers
57,3,electronics
57,4,movies
58,0,electronics
58,1,computers
59,0,electronics
59,1,computers
60,0,computers
60,1,home&garden
60,2,handbags
61,0,clothing
61,1,computers
62,0,computers
62,1,home&garden
63,0,movies
63,1,computers
63,2,home&garden
64,0,clothing
64,1,computers
65,0,electronics
65,1,computers
65,2,home&garden
65,3,handbags
66,0,games
66,1,electronics
66,2,computers
66,3,home&garden
66,4,handbags
67,0,computers
67,1,home&garden
68,0,movies
68,1,computers
69,0,computers
69,1,home&garden
70,0,shoes
70,1,movies
70,2,computers
70,3,home&garden
71,0,electronics
71,1,computers
71,2,home&garden
71,3,handbags
71,4,clothing
72,0,shoes
72,1,computers
73,0,computers
73,1,home&garden
73,2,handbags
74,0,electronics
74,1,computers
74,2,home&garden
74,3,handbags
74,4,clothing
75,0,electronics
75,1,computers
75,2,home&garden
75,3,handbags
75,4,clothing
76,0,electronics
76,1,computers
76,2,home&garden
76,3,handbags
77,0,computers
77,1,home&garden
77,2,handbags
78,0,computers
78,1,electronics
79,0,games
79,1,computers
79,2,home&garden
79,3,handbags
80,0,clothing
80,1,electronics
80,2,computers
80,3,home&garden
80,4,handbags
81,0,computers
81,1,home&garden
81,2,handbags
82,0,electronics
82,1,computers
82,2,home&garden
83,0,handbags
83,1,movies
83,2,games
83,3,electronics
83,4,computers
83,5,home&garden
84,0,computers
84,1,home&garden
84,2,handbags
84,3,clothing
85,0,movies
85,1,computers
85,2,home&garden
86,0,movies
86,1,computers
87,0,clothing
87,1,computers
87,2,handbags
88,0,handbags
88,1,electronics
88,2,computers
88,3,home&garden
88,4,clothing
89,0,electronics
89,1,computers
89,2,home&garden
89,3,handbags
90,0,clothing
90,1,computers
90,2,home&garden
90,3,handbags
91,0,electronics
91,1,computers
92,0,clothing
92,1,handbags
92,2,home&garden
92,3,computers
93,0,electronics
93,1,computers
94,0,electronics
94,1,computers
95,0,computers
95,1,electronics
95,2,home&garden
95,3,handbags
96,0,computers
96,1,home&garden
96,2,handbags
97,0,electronics
97,1,computers
98,0,computers
98,1,home&garden
98,2,handbags
98,3,clothing
98,4,shoes
99,0,computers
99,1,home&garden
99,2,handbags
100,0,movies
100,1,electronics
100,2,computers
100,3,home&garden
101,0,electronics
101,1,computers
101,2,home&garden
101,3,handbags
101,4,clothing
102,0,electronics
102,1,computers
103,0,computers
103,1,home&garden
103,2,handbags
103,3,clothing
104,0,shoes
104,1,computers
105,0,computers
105,1,home&garden
105,2,handbags
105,3,clothing
105,4,shoes
106,0,electronics
106,1,computers
107,0,movies
107,1,electronics
107,2,computers
108,0,computers
108,1,home&garden
109,0,movies
109,1,computers
110,0,movies
110,1,electronics
110,2,computers
110,3,home&garden
110,4,handbags
110,5,clothing
111,0,electronics
111,1,computers
112,0,computers
112,1,home&garden
113,0,movies
113,1,electronics
113,2,computers
113,3,home&garden
113,4,handbags
113,5,clothing
114,0,movies
114,1,clothing
114,2,electronics
114,3,computers
115,0,computers
115,1,home&garden
116,0,electronics
116,1,computers
116,2,home&garden
116,3,handbags
116,4,clothing
117,0,clothing
117,1,electronics
117,2,computers
117,3,home&garden
117,4,handbags
118,0,clothing
118,1,computers
118,2,home&garden
118,3,handbags
119,0,computers
119,1,handbags
120,0,handbags
120,1,computers
121,0,computers
121,1,home&garden
122,0,computers
122,1,home&garden
122,2,clothing
123,0,electronics
123,1,computers
124,0,movies
124,1,games
124,2,electronics
124,3,computers
124,4,home&garden
124,5,handbags
125,0,computers
125,1,handbags
126,0,computers
126,1,home&garden
126,2,handbags
127,0,clothing
127,1,computers
127,2,home&garden
127,3,handbags
128,0,computers
128,1,home&garden
128,2,handbags
129,0,computers
129,1,home&garden
130,0,computers
130,1,home&garden
131,0,computers
131,1,home&garden
131,2,handbags
132,0,electronics
132,1,movies
132,2,computers
133,0,movies
133,1,computers
134,0,computers
134,1,home&garden
134,2,handbags
134,3,clothing
135,0,movies
135,1,games
135,2,electronics
135,3,computers
135,4,home&garden
136,0,clothing
136,1,computers
136,2,electronics
136,3,home&garden
136,4,handbags
137,0,movies
137,1,games
137,2,electronics
137,3,computers
137,4,home&garden
137,5,handbags
138,0,clothing
138,1,computers
139,0,movies
139,1,electronics
139,2,computers
140,0,computers
140,1,home&garden
140,2,handbags
140,3,clothing
141,0,clothing
141,1,movies
141,2,electronics
141,3,computers
141,4,home&garden
142,0,computers
142,1,home&garden
142,2,handbags
143,0,electronics
143,1,computers
143,2,home&garden
143,3,handbags
144,0,electronics
144,1,movies
144,2,computers
145,0,movies
145,1,computers
146,0,electronics
146,1,computers
147,0,movies
147,1,electronics
147,2,computers
147,3,home&garden
147,4,handbags
148,0,clothing
148,1,computers
149,0,computers
149,1,home&garden
149,2,handbags
150,0,games
150,1,electronics
150,2,computers
150,3,home&garden
150,4,handbags
151,0,movies
151,1,computers
151,2,home&garden
152,0,computers
152,1,home&garden
152,2,handbags
153,0,computers
153,1,home&garden
153,2,handbags
153,3,clothing
154,0,games
154,1,computers
155,0,handbags
155,1,computers
156,0,movies
156,1,computers
157,0,movies
157,1,computers
157,2,home&garden
157,3,shoes
158,0,electronics
158,1,computers
158,2,home&garden
158,3,handbags
158,4,clothing
159,0,movies
159,1,computers
159,2,home&garden
160,0,computers
160,1,home&garden
161,0,games
161,1,computers
162,0,electronics
162,1,computers
163,0,handbags
163,1,home&garden
163,2,computers
164,0,shoes
164,1,movies
164,2,computers
165,0,electronics
165,1,computers
166,0,electronics
166,1,computers
166,2,home&garden
166,3,handbags
167,0,computers
167,1,home&garden
167,2,handbags
167,3,clothing
167,4,shoes
168,0,computers
168,1,home&garden
168,2,handbags
169,0,handbags
169,1,clothing
169,2,computers
169,3,movies
170,0,computers
170,1,home&garden
170,2,handbags
170,3,clothing
171,0,movies
171,1,computers
172,0,computers
172,1,home&garden
172,2,handbags
173,0,electronics
173,1,computers
174,0,computers
174,1,home&garden
175,0,computers
175,1,home&garden
176,0,shoes
176,1,computers
177,0,electronics
177,1,computers
177,2,home&garden
177,3,handbags
177,4,clothing
178,0,clothing
178,1,computers
179,0,computers
179,1,home&garden
180,0,computers
180,1,home&garden
180,2,handbags
181,0,movies
181,1,computers
182,0,electronics
182,1,computers
182,2,home&garden
183,0,shoes
183,1,computers
184,0,computers
184,1,home&garden
184,2,handbags
185,0,computers
185,1,home&garden
185,2,handbags
185,3,clothing
186,0,electronics
186,1,computers
187,0,shoes
187,1,computers
187,2,home&garden
187,3,handbags
187,4,clothing
188,0,movies
188,1,electronics
188,2,computers
188,3,home&garden
189,0,movies
189,1,electronics
189,2,computers
189,3,home&garden
190,0,computers
190,1,handbags
191,0,movies
191,1,computers
191,2,home&garden
191,3,handbags
192,0,movies
192,1,games
192,2,computers
193,0,computers
193,1,home&garden
194,0,handbags
194,1,computers
194,2,electronics
195,0,computers
195,1,home&garden
196,0,computers
196,1,home&garden
196,2,handbags
197,0,computers
197,1,home&garden
197,2,handbags
198,0,computers
198,1,home&garden
199,0,computers
199,1,home&garden
199,2,handbags
199,3,clothing
199,4,shoes
200,0,handbags
200,1,computers
200,2,home&garden
201,0,clothing
201,1,computers
202,0,games
202,1,electronics
202,2,computers
203,0,games
203,1,electronics
203,2,computers
204,0,clothing
204,1,computers
204,2,home&garden
204,3,handbags
205,0,handbags
205,1,games
205,2,electronics
205,3,computers
205,4,home&garden
206,0,electronics
206,1,computers
206,2,home&garden
207,0,computers
207,1,home&garden
207,2,handbags
208,0,home&garden
208,1,computers
209,0,clothing
209,1,computers
210,0,computers
210,1,movies
211,0,computers
211,1,home&garden
212,0,clothing
212,1,electronics
212,2,computers
212,3,home&garden
213,0,home&garden
213,1,computers
214,0,electronics
214,1,computers
215,0,home&garden
