x,y,value
1,0,games
1,1,electronics
2,0,clothing
2,1,handbags
2,2,home&garden
2,3,electronics
3,0,electronics
3,1,handbags
3,2,clothing
4,0,movies
4,1,electronics
5,0,electronics
5,1,computers
5,2,home&garden
5,3,handbags
5,4,clothing
6,0,electronics
6,1,computers
6,2,home&garden
6,3,handbags
7,0,movies
7,1,electronics
8,0,clothing
8,1,electronics
9,0,games
9,1,electronics
9,2,computers
9,3,home&garden
9,4,handbags
10,0,movies
10,1,games
10,2,electronics
11,0,electronics
11,1,computers
12,0,electronics
12,1,home&garden
13,0,games
13,1,electronics
13,2,computers
14,0,movies
14,1,electronics
15,0,electronics
15,1,computers
15,2,home&garden
15,3,handbags
16,0,clothing
16,1,electronics
17,0,movies
17,1,electronics
18,0,home&garden
18,1,electronics
19,0,movies
19,1,electronics
19,2,computers
20,0,electronics
20,1,computers
20,2,home&garden
20,3,handbags
21,0,electronics
21,1,computers
22,0,handbags
22,1,electronics
22,2,computers
23,0,electronics
23,1,computers
23,2,home&garden
23,3,handbags
24,0,clothing
24,1,computers
24,2,movies
24,3,electronics
25,0,games
25,1,electronics
26,0,electronics
26,1,computers
27,0,clothing
27,1,movies
27,2,electronics
28,0,electronics
28,1,computers
29,0,games
29,1,electronics
30,0,electronics
30,1,computers
30,2,home&garden
30,3,handbags
31,0,games
31,1,electronics
32,0,electronics
32,1,computers
32,2,home&garden
33,0,movies
33,1,games
33,2,electronics
33,3,computers
33,4,home&garden
33,5,handbags
34,0,electronics
34,1,clothing
35,0,electronics
35,1,computers
35,2,home&garden
36,0,home&garden
36,1,handbags
36,2,computers
36,3,electronics
36,4,movies
37,0,movies
37,1,electronics
38,0,electronics
38,1,computers
39,0,electronics
39,1,computers
40,0,movies
40,1,games
40,2,electronics
41,0,electronics
41,1,clothing
42,0,movies
42,1,electronics
43,0,handbags
43,1,electronics
43,2,handbags
44,0,clothing
44,1,electronics
45,0,movies
45,1,handbags
45,2,electronics
46,0,electronics
46,1,computers
46,2,home&garden
46,3,handbags
47,0,games
47,1,electronics
47,2,computers
47,3,home&garden
47,4,handbags
48,0,movies
48,1,electronics
49,0,electronics
49,1,computers
49,2,home&garden
49,3,handbags
49,4,clothing
50,0,movies
50,1,electronics
51,0,handbags
51,1,electronics
52,0,movies
52,1,electronics
53,0,electronics
53,1,movies
53,2,clothing
54,0,electronics
54,1,computers
54,2,home&garden
54,3,handbags
54,4,clothing
55,0,electronics
55,1,computers
55,2,home&garden
55,3,handbags
55,4,clothing
56,0,electronics
56,1,computers
56,2,home&garden
56,3,handbags
57,0,movies
57,1,electronics
58,0,computers
58,1,electronics
59,0,movies
59,1,electronics
60,0,clothing
60,1,electronics
60,2,computers
60,3,home&garden
60,4,handbags
61,0,electronics
61,1,computers
61,2,home&garden
62,0,handbags
62,1,movies
62,2,games
62,3,electronics
62,4,computers
62,5,home&garden
63,0,clothing
63,1,electronics
64,0,handbags
64,1,movies
64,2,games
64,3,electronics
65,0,handbags
65,1,electronics
65,2,computers
65,3,home&garden
65,4,clothing
66,0,electronics
66,1,computers
66,2,home&garden
66,3,handbags
67,0,electronics
67,1,computers
68,0,electronics
68,1,computers
69,0,electronics
69,1,computers
70,0,computers
70,1,electronics
70,2,home&garden
70,3,handbags
71,0,games
71,1,electronics
72,0,electronics
72,1,computers
73,0,movies
73,1,electronics
73,2,computers
73,3,home&garden
74,0,electronics
74,1,computers
74,2,home&garden
74,3,handbags
74,4,clothing
75,0,electronics
75,1,computers
76,0,electronics
76,1,computers
77,0,games
77,1,electronics
77,2,home&garden
77,3,handbags
78,0,movies
78,1,electronics
78,2,computers
79,0,games
79,1,electronics
80,0,movies
80,1,electronics
80,2,computers
80,3,home&garden
80,4,handbags
80,5,clothing
81,0,electronics
81,1,computers
82,0,movies
82,1,electronics
82,2,computers
82,3,home&garden
82,4,handbags
82,5,clothing
83,0,movies
83,1,clothing
83,2,electronics
83,3,computers
84,0,clothing
84,1,movies
84,2,electronics
85,0,electronics
85,1,computers
85,2,home&garden
85,3,handbags
85,4,clothing
86,0,clothing
86,1,movies
86,2,electronics
87,0,clothing
87,1,electronics
87,2,computers
87,3,home&garden
87,4,handbags
88,0,games
88,1,electronics
89,0,movies
89,1,electronics
90,0,movies
90,1,electronics
91,0,electronics
91,1,computers
92,0,movies
92,1,games
92,2,electronics
92,3,computers
92,4,home&garden
92,5,handbags
93,0,games
93,1,electronics
94,0,movies
94,1,electronics
95,0,handbags
95,1,electronics
96,0,clothing
96,1,movies
96,2,electronics
97,0,electronics
97,1,handbags
98,0,electronics
98,1,movies
98,2,computers
99,0,clothing
99,1,movies
99,2,electronics
100,0,clothing
100,1,electronics
101,0,movies
101,1,games
101,2,electronics
101,3,computers
101,4,home&garden
102,0,clothing
102,1,computers
102,2,electronics
102,3,home&garden
102,4,handbags
103,0,movies
103,1,games
103,2,electronics
103,3,computers
103,4,home&garden
103,5,handbags
104,0,movies
104,1,electronics
104,2,computers
105,0,games
105,1,electronics
105,2,handbags
106,0,games
106,1,electronics
107,0,clothing
107,1,movies
107,2,electronics
107,3,computers
107,4,home&garden
108,0,electronics
108,1,computers
108,2,home&garden
108,3,handbags
109,0,movies
109,1,electronics
109,2,handbags
110,0,electronics
110,1,movies
110,2,computers
111,0,electronics
111,1,computers
112,0,movies
112,1,electronics
112,2,computers
112,3,home&garden
112,4,handbags
113,0,movies
113,1,electronics
114,0,games
114,1,electronics
114,2,computers
114,3,home&garden
114,4,handbags
115,0,electronics
115,1,handbags
116,0,movies
116,1,electronics
117,0,movies
117,1,electronics
118,0,electronics
118,1,computers
118,2,home&garden
118,3,handbags
118,4,clothing
119,0,movies
119,1,games
119,2,electronics
120,0,handbags
120,1,movies
120,2,games
120,3,electronics
121,0,electronics
121,1,computers
122,0,movies
122,1,games
122,2,electronics
123,0,electronics
123,1,computers
124,0,electronics
124,1,computers
124,2,home&garden
124,3,handbags
125,0,electronics
125,1,home&garden
125,2,handbags
125,3,clothing
126,0,electronics
126,1,computers
127,0,movies
127,1,electronics
127,2,clothing
128,0,movies
128,1,electronics
129,0,electronics
129,1,computers
129,2,home&garden
129,3,handbags
129,4,clothing
130,0,electronics
130,1,home&garden
131,0,electronics
131,1,home&garden
132,0,electronics
132,1,computers
132,2,home&garden
133,0,electronics
133,1,computers
134,0,movies
134,1,electronics
134,2,computers
134,3,home&garden
135,0,movies
135,1,electronics
135,2,computers
135,3,home&garden
136,0,handbags
136,1,computers
136,2,electronics
137,0,movies
137,1,electronics
138,0,games
138,1,electronics
138,2,computers
139,0,movies
139,1,electronics
140,0,games
140,1,electronics
140,2,computers
141,0,handbags
141,1,games
141,2,electronics
141,3,computers
141,4,home&garden
142,0,electronics
142,1,computers
142,2,home&garden
143,0,movies
143,1,electronics
144,0,clothing
144,1,electronics
144,2,computers
144,3,home&garden
145,0,movies
145,1,games
145,2,electronics
146,0,electronics
146,1,computers
147,0,home&garden
147,1,handbags
147,2,clothing
147,3,computers
147,4,electronics
147,5,movies
148,0,movies
148,1,electronics
148,2,computers
148,3,home&garden
148,4,handbags
148,5,clothing
149,0,movies
149,1,games
149,2,electronics
150,0,movies
150,1,electronics
150,2,computers
151,0,electronics
151,1,computers
151,2,home&garden
152,0,movies
152,1,electronics
152,2,computers
153,0,games
153,1,electronics
154,0,movies
154,1,electronics
154,2,computers
155,0,movies
155,1,games
155,2,electronics
155,3,computers
156,0,electronics
156,1,home&garden
157,0,handbags
157,1,electronics
158,0,movies
158,1,electronics
159,0,electronics
159,1,computers
160,0,electronics
160,1,computers
161,0,clothing
161,1,movies
161,2,electronics
162,0,electronics
162,1,computers
163,0,games
163,1,electronics
163,2,computers
164,0,electronics
164,1,computers
165,0,games
165,1,electronics
165,2,computers
165,3,home&garden
165,4,handbags
165,5,tools
166,0,movies
166,1,electronics
167,0,electronics
167,1,games
168,0,handbags
168,1,electronics
168,2,computers
169,0,electronics
169,1,computers
170,0,games
170,1,electronics
171,0,movies
171,1,electronics
172,0,electronics
172,1,computers
172,2,home&garden
173,0,home&garden
173,1,clothing
173,2,electronics
174,0,games
174,1,electronics
174,2,handbags
174,3,computers
175,0,electronics
175,1,computers
175,2,home&garden
175,3,handbags
175,4,clothing
176,0,clothing
176,1,movies
176,2,electronics
176,3,computers
177,0,electronics
177,1,computers
177,2,home&garden
178,0,movies
178,1,games
178,2,electronics
178,3,computers
178,4,home&garden
178,5,handbags
179,0,movies
179,1,electronics
180,0,electronics
180,1,computers
180,2,home&garden
180,3,handbags
181,0,electronics
181,1,computers
181,2,home&garden
181,3,handbags
182,0,clothing
182,1,movies
182,2,electronics
182,3,computers
182,4,home&garden
182,5,handbags
183,0,electronics
183,1,clothing
184,0,movies
184,1,clothing
184,2,electronics
185,0,movies
185,1,electronics
185,2,handbags
185,3,clothing
186,0,movies
186,1,electronics
186,2,computers
187,0,movies
187,1,electronics
188,0,clothing
188,1,computers
188,2,movies
188,3,home&garden
188,4,electronics
189,0,movies
189,1,electronics
189,2,computers
189,3,clothing
189,4,home&garden
189,5,handbags
190,0,electronics
190,1,computers
190,2,movies
191,0,home&garden
191,1,electronics
192,0,electronics
192,1,computers
193,0,computers
193,1,electronics
193,2,home&garden
194,0,movies
194,1,electronics
194,2,computers
194,3,home&garden
194,4,handbags
194,5,clothing
195,0,games
195,1,electronics
195,2,computers
195,3,home&garden
196,0,handbags
196,1,computers
196,2,electronics
197,0,electronics
197,1,home&garden
198,0,games
198,1,electronics
199,0,clothing
199,1,computers
199,2,electronics
200,0,clothing
200,1,electronics
201,0,computers
201,1,electronics
202,0,handbags
202,1,electronics
202,2,movies
202,3,computers
202,4,home&garden
203,0,electronics
203,1,computers
203,2,home&garden
204,0,games
204,1,electronics
204,2,computers
204,3,home&garden
204,4,handbags
205,0,outdoors
205,1,electronics
206,0,movies
206,1,electronics
207,0,clothing
207,1,movies
207,2,electronics
207,3,home&garden
207,4,handbags
208,0,electronics
208,1,computers
209,0,electronics
209,1,clothing
210,0,electronics
210,1,computers
211,0,electronics
211,1,home&garden
211,2,handbags
212,0,electronics
212,1,computers
212,2,home&garden
212,3,handbags
213,0,clothing
213,1,electronics
213,2,computers
213,3,home&garden
214,0,handbags
214,1,games
214,2,electronics
214,3,computers
215,0,electronics
215,1,computers
215,2,home&garden
215,3,handbags
216,0,home&garden
216,1,movies
216,2,electronics
216,3,computers
217,0,clothing
217,1,movies
217,2,electronics
217,3,computers
217,4,home&garden
218,0,electronics
218,1,home&garden
219,0,electronics
219,1,computers
219,2,home&garden
219,3,handbags
220,0,computers
220,1,electronics
220,2,handbags
220,3,home&garden
221,0,electronics
221,1,computers
221,2,home&garden
221,3,handbags
222,0,books
222,1,electronics
223,0,electronics
223,1,computers
223,2,home&garden
224,0,movies
224,1,electronics
225,0,movies
225,1,electronics
226,0,games
226,1,electronics
226,2,computers
226,3,home&garden
226,4,handbags
227,0,movies
227,1,electronics
228,0,movies
228,1,electronics
228,2,home&garden
228,3,handbags
229,0,clothing
229,1,electronics
229,2,clothing
230,0,movies
230,1,electronics
230,2,computers
231,0,home&garden
231,1,handbags
231,2,electronics
232,0,handbags
232,1,home&garden
232,2,computers
232,3,electronics
232,4,games
233,0,movies
233,1,electronics
233,2,computers
233,3,home&garden
