x,count
1,76
2,76
3,76
4,76
5,6
6,6
7,6
8,6
9,6
10,6
11,5
12,5
13,5
14,5
15,5
16,196
17,196
18,196
19,196
20,105
21,105
22,105
23,105
24,105
25,105
26,105
27,156
28,156
29,156
30,156
31,156
32,156
33,196
34,196
35,196
36,196
37,40
38,40
39,40
40,40
41,42
42,42
43,42
44,42
45,42
46,42
47,42
48,30
49,30
50,30
51,30
52,30
53,204
54,204
55,204
56,204
57,44
58,44
59,44
60,44
61,45
62,45
63,45
64,45
65,45
66,196
67,196
68,196
69,196
70,156
71,156
72,156
73,156
74,156
75,156
76,40
77,40
78,40
79,40
80,196
81,196
82,196
83,196
84,16
85,16
86,16
87,16
88,50
89,50
90,50
91,50
92,50
93,156
94,156
95,156
96,156
97,156
98,156
99,204
100,204
101,204
102,204
103,15
104,15
105,15
106,15
107,15
108,156
109,156
110,156
111,156
112,156
113,156
114,6
115,6
116,6
117,6
118,6
119,6
120,76
121,76
122,76
123,76
124,204
125,204
126,204
127,204
128,45
129,45
130,45
131,45
132,45
133,204
134,204
135,204
136,204
137,76
138,76
139,76
140,76
141,156
142,156
143,156
144,156
145,156
146,156
147,76
148,76
149,76
150,76
151,100
152,100
153,100
154,100
155,100
156,48
157,48
158,48
159,48
160,48
161,48
162,48
163,48
164,36
165,36
166,36
167,36
168,100
169,100
170,100
171,100
172,100
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,196
181,196
182,196
183,196
184,204
185,204
186,204
187,204
188,204
189,204
190,204
191,204
192,30
193,30
194,30
195,30
196,30
197,36
198,36
199,36
200,36
201,196
202,196
203,196
204,196
205,5
206,5
207,5
208,5
209,5
210,40
211,40
212,40
213,40
214,5
215,5
216,5
217,5
218,5
219,156
220,156
221,156
222,156
223,156
224,156
225,42
226,42
227,42
228,42
229,42
230,42
231,42
232,196
233,196
234,196
235,196
236,105
237,105
238,105
239,105
240,105
241,105
242,105
243,196
244,196
245,196
246,196
247,20
248,20
249,20
250,20
251,196
252,196
253,196
254,196
255,5
256,5
257,5
258,5
259,5
260,105
261,105
262,105
263,105
264,105
265,105
266,105
267,105
268,105
269,105
270,105
271,105
272,105
273,105
274,156
275,156
276,156
277,156
278,156
279,156
280,196
281,196
282,196
283,196
284,16
285,16
286,16
287,16
288,196
289,196
290,196
291,196
292,14
293,14
294,14
295,14
296,14
297,14
298,14
299,100
300,100
301,100
302,100
303,100
304,8
305,8
306,8
307,8
308,8
309,8
310,8
311,8
312,40
313,40
314,40
315,40
316,18
317,18
318,18
319,18
320,18
321,18
322,7
323,7
324,7
325,7
326,7
327,7
328,7
329,156
330,156
331,156
332,156
333,156
334,156
335,204
336,204
337,204
338,204
339,204
340,204
341,204
342,204
343,204
344,204
345,204
346,204
347,24
348,24
349,24
350,24
351,24
352,24
353,76
354,76
355,76
356,76
357,204
358,204
359,204
360,204
361,18
362,18
363,18
364,18
365,18
366,18
