x,y,value
1,0,front-page
1,1,local
1,2,misc
1,3,front-page
1,4,health
1,5,front-page
1,6,news
1,7,front-page
1,8,on-air
1,9,front-page
2,0,local
2,1,health
2,2,news
2,3,health
2,4,business
2,5,health
2,6,misc
2,7,front-page
2,8,health
3,0,living
3,1,front-page
3,2,news
3,3,front-page
3,4,opinion
3,5,front-page
3,6,on-air
3,7,front-page
3,8,on-air
3,9,front-page
3,10,opinion
4,0,on-air
4,1,news
4,2,summary
4,3,news
4,4,front-page
4,5,news
4,6,weather
4,7,opinion
4,8,on-air
4,9,misc
4,10,tech
4,11,health
4,12,living
4,13,sports
4,14,business
4,15,news
4,16,summary
4,17,front-page
4,18,misc
4,19,on-air
4,20,misc
4,21,on-air
4,22,misc
4,23,local
4,24,misc
4,25,on-air
4,26,misc
4,27,on-air
4,28,misc
4,29,weather
4,30,misc
4,31,opinion
4,32,on-air
4,33,misc
4,34,living
4,35,health
4,36,misc
4,37,sports
4,38,news
4,39,business
4,40,tech
4,41,front-page
4,42,misc
4,43,on-air
4,44,local
4,45,sports
4,46,news
4,47,sports
4,48,news
4,49,sports
4,50,news
4,51,sports
4,52,bbs
4,53,sports
4,54,bbs
4,55,sports
5,0,on-air
5,1,summary
5,2,opinion
5,3,on-air
5,4,news
5,5,front-page
5,6,news
5,7,weather
5,8,on-air
5,9,health
5,10,living
5,11,sports
5,12,tech
5,13,misc
5,14,news
5,15,business
5,16,news
5,17,summary
5,18,on-air
5,19,front-page
6,0,front-page
6,1,tech
6,2,front-page
6,3,news
6,4,summary
6,5,on-air
6,6,front-page
6,7,misc
6,8,front-page
6,9,summary
6,10,front-page
6,11,tech
6,12,news
7,0,front-page
7,1,news
7,2,front-page
7,3,news
7,4,front-page
7,5,on-air
7,6,front-page
7,7,local
7,8,front-page
7,9,news
7,10,front-page
7,11,news
8,0,front-page
8,1,on-air
8,2,health
8,3,misc
8,4,on-air
8,5,misc
8,6,health
8,7,news
8,8,health
8,9,news
8,10,business
8,11,health
8,12,news
8,13,health
8,14,business
8,15,living
8,16,health
8,17,on-air
8,18,misc
8,19,health
8,20,news
8,21,on-air
