seq,count
1,21
2,27
3,25
4,49
5,23
6,21
7,33
8,138
9,19
10,21
11,38
12,23
13,38
14,23
15,27
16,25
17,23
18,29
19,19
20,35
21,19
22,21
23,25
24,29
25,19
26,23
27,57
28,23
29,190
30,19
31,21
32,27
33,21
34,27
35,89
36,31
37,27
38,27
39,21
40,27
41,25
42,29
43,23
44,41
45,23
46,21
47,23
48,19
49,21
50,19
51,25
52,23
53,21
54,23
55,31
56,23
57,25
58,23
59,23
60,23
61,23
62,25
63,21
64,19
65,23
66,41
67,19
68,25
69,57
70,47
71,31
72,53
73,722
74,21
75,25
76,27
77,29
78,23
79,42
80,23
81,19
82,23
83,38
84,25
85,27
86,19
87,21
88,25
89,57
90,45
91,47
92,63
93,35
94,21
95,27
96,25
97,41
98,19
99,19
100,23
101,29
102,71
103,29
104,21
105,19
106,105
107,19
108,19
109,31
110,33
111,33
112,27
113,31
114,27
115,35
116,23
117,57
118,31
119,19
120,21
121,33
122,33
123,27
124,76
125,23
126,31
127,37
128,37
129,29
130,23
131,29
132,27
133,43
134,25
135,21
136,29
137,23
138,19
139,29
140,41
141,53
142,77
143,19
144,19
145,19
146,29
147,19
148,76
149,27
150,23
151,25
152,29
153,21
154,23
155,19
156,19
157,33
158,27
159,27
160,19
161,21
162,38
163,19
164,25
165,19
166,19
167,84
168,25
169,21
170,25
171,31
172,25
173,21
174,27
175,21
176,38
177,19
178,37
179,25
180,23
181,19
182,19
183,23
184,23
185,21
186,29
187,19
188,27
189,27
190,19
191,21
192,23
193,19
194,21
195,23
196,19
197,31
198,35
199,27
200,33
201,19
202,19
203,19
204,21
205,45
206,19
207,37
208,23
209,37
210,19
211,23
212,27
213,23
214,19
215,19
216,38
217,19
218,19
219,41
220,71
221,19
222,19
223,23
224,21
225,19
226,39
227,25
228,19
229,29
230,23
231,19
232,21
233,42
234,23
235,37
236,21
237,19
238,21
239,27
240,41
241,19
242,27
243,19
244,33
245,21
246,31
247,21
248,19
249,23
250,38
251,38
252,81
253,33
254,25
255,21
256,19
257,23
258,25
259,39
260,21
261,27
262,21
263,21
264,19
265,39
266,37
267,25
268,31
269,23
270,38
271,35
272,27
273,59
274,42
275,31
276,39
277,23
278,19
279,21
280,21
281,47
282,23
283,817
284,23
285,23
286,23
287,31
288,19
289,19
290,43
291,21
292,21
293,21
294,27
295,57
296,39
297,21
298,21
299,77
300,23
301,37
302,19
303,21
304,276
305,23
306,33
307,21
308,21
309,29
310,31
311,27
312,19
313,19
314,23
315,31
316,23
317,35
318,232
319,27
320,23
321,35
322,51
323,47
324,19
325,21
326,29
327,21
328,19
329,57
330,49
331,19
332,21
333,23
334,19
335,23
336,38
337,51
338,23
339,63
340,21
341,39
342,181
343,19
344,27
345,35
346,153
347,19
348,23
349,23
350,27
351,23
352,39
353,33
354,25
355,25
356,27
357,38
358,25
359,21
360,29
361,23
362,23
363,23
364,23
365,21
366,19
367,21
368,21
369,19
370,25
371,19
372,19
373,27
374,29
375,21
376,31
377,21
378,21
379,21
380,23
381,19
382,27
383,19
384,23
385,33
386,19
387,33
388,19
389,23
390,19
391,19
392,19
393,35
394,33
395,27
396,23
397,133
398,19
399,45
400,51
