x,y,value
1,0,games
1,1,electronics
2,0,handbags
2,1,movies
2,2,games
3,0,games
3,1,electronics
3,2,computers
3,3,home&garden
3,4,handbags
4,0,movies
4,1,games
4,2,electronics
5,0,games
5,1,electronics
5,2,computers
6,0,movies
6,1,games
7,0,movies
7,1,games
8,0,games
8,1,electronics
9,0,games
9,1,computers
9,2,home&garden
9,3,handbags
10,0,games
10,1,electronics
11,0,games
11,1,electronics
12,0,movies
12,1,games
13,0,movies
13,1,games
13,2,electronics
13,3,computers
13,4,home&garden
13,5,handbags
14,0,movies
14,1,games
15,0,computers
15,1,movies
15,2,games
16,0,movies
16,1,games
16,2,electronics
17,0,movies
17,1,games
18,0,movies
18,1,games
19,0,movies
19,1,games
20,0,games
20,1,electronics
20,2,computers
20,3,home&garden
20,4,handbags
21,0,games
21,1,computers
21,2,home&garden
21,3,handbags
22,0,movies
22,1,games
23,0,handbags
23,1,movies
23,2,games
23,3,electronics
23,4,computers
23,5,home&garden
24,0,handbags
24,1,movies
24,2,games
24,3,electronics
25,0,handbags
25,1,games
26,0,games
26,1,electronics
27,0,games
27,1,electronics
27,2,home&garden
27,3,handbags
28,0,games
28,1,electronics
29,0,games
29,1,electronics
30,0,movies
30,1,games
30,2,electronics
30,3,computers
30,4,home&garden
30,5,handbags
31,0,games
31,1,electronics
32,0,movies
32,1,games
33,0,movies
33,1,games
33,2,electronics
33,3,computers
33,4,home&garden
34,0,movies
34,1,games
34,2,electronics
34,3,computers
34,4,home&garden
34,5,handbags
35,0,games
35,1,electronics
35,2,handbags
36,0,games
36,1,electronics
37,0,games
37,1,electronics
37,2,computers
37,3,home&garden
37,4,handbags
38,0,games
38,1,computers
39,0,movies
39,1,games
39,2,electronics
40,0,handbags
40,1,movies
40,2,games
40,3,electronics
41,0,games
41,1,computers
42,0,movies
42,1,games
42,2,electronics
43,0,movies
43,1,games
44,0,movies
44,1,games
45,0,movies
45,1,games
45,2,computers
46,0,movies
46,1,games
47,0,games
47,1,electronics
47,2,computers
48,0,games
48,1,electronics
48,2,computers
49,0,handbags
49,1,games
49,2,electronics
49,3,computers
49,4,home&garden
50,0,movies
50,1,games
50,2,electronics
51,0,movies
51,1,games
51,2,electronics
52,0,movies
52,1,games
53,0,games
53,1,electronics
54,0,movies
54,1,games
54,2,electronics
54,3,computers
55,0,movies
55,1,games
56,0,games
56,1,electronics
56,2,computers
57,0,games
57,1,electronics
57,2,computers
57,3,home&garden
57,4,handbags
57,5,tools
58,0,electronics
58,1,games
59,0,games
59,1,electronics
60,0,games
60,1,electronics
60,2,handbags
60,3,computers
61,0,movies
61,1,games
61,2,electronics
61,3,computers
61,4,home&garden
61,5,handbags
62,0,movies
62,1,games
63,0,games
63,1,handbags
64,0,movies
64,1,games
65,0,games
65,1,home&garden
66,0,games
66,1,handbags
67,0,games
67,1,electronics
67,2,computers
67,3,home&garden
68,0,movies
68,1,games
69,0,games
69,1,electronics
70,0,games
70,1,handbags
71,0,movies
71,1,games
72,0,games
72,1,electronics
72,2,computers
72,3,home&garden
72,4,handbags
73,0,movies
73,1,games
74,0,movies
74,1,games
75,0,handbags
75,1,games
75,2,electronics
75,3,computers
76,0,games
76,1,home&garden
77,0,movies
77,1,games
78,0,games
78,1,electronics
78,2,computers
78,3,home&garden
78,4,handbags
79,0,handbags
79,1,home&garden
79,2,computers
79,3,electronics
79,4,games
80,0,movies
80,1,games
80,2,electronics
80,3,computers
80,4,home&garden
81,0,handbags
81,1,movies
81,2,games
82,0,games
82,1,electronics
82,2,computers
83,0,movies
83,1,games
84,0,games
84,1,electronics
85,0,games
85,1,electronics
86,0,movies
86,1,games
87,0,games
87,1,electronics
88,0,games
88,1,handbags
89,0,games
89,1,electronics
90,0,movies
90,1,games
91,0,games
91,1,electronics
91,2,computers
92,0,games
92,1,electronics
93,0,games
93,1,electronics
94,0,movies
94,1,games
95,0,movies
95,1,electronics
95,2,games
95,3,computers
95,4,home&garden
95,5,handbags
96,0,handbags
96,1,electronics
96,2,games
97,0,movies
97,1,games
98,0,movies
98,1,games
99,0,handbags
99,1,movies
99,2,games
100,0,games
100,1,electronics
100,2,computers
101,0,handbags
101,1,games
101,2,electronics
102,0,games
102,1,electronics
103,0,handbags
103,1,movies
103,2,games
104,0,movies
104,1,games
104,2,electronics
104,3,computers
104,4,home&garden
104,5,handbags
105,0,games
105,1,electronics
105,2,computers
106,0,handbags
106,1,games
106,2,movies
106,3,electronics
107,0,movies
107,1,games
108,0,games
108,1,electronics
108,2,computers
108,3,home&garden
108,4,handbags
109,0,handbags
109,1,movies
109,2,games
109,3,electronics
110,0,handbags
110,1,electronics
110,2,games
111,0,movies
111,1,games
112,0,games
112,1,electronics
112,2,computers
112,3,home&garden
113,0,movies
113,1,games
113,2,electronics
113,3,computers
113,4,home&garden
113,5,handbags
114,0,games
114,1,electronics
114,2,computers
115,0,home&garden
115,1,games
116,0,movies
116,1,games
117,0,movies
117,1,games
118,0,games
118,1,movies
119,0,computers
119,1,electronics
119,2,games
119,3,handbags
120,0,games
120,1,electronics
120,2,computers
120,3,home&garden
121,0,games
121,1,electronics
121,2,clothing
121,3,computers
121,4,home&garden
121,5,handbags
122,0,movies
122,1,games
123,0,handbags
123,1,movies
123,2,games
123,3,electronics
123,4,computers
