x,count
1,30
2,30
3,30
4,30
5,30
6,12
7,12
8,12
9,12
10,12
11,12
12,100
13,100
14,100
15,100
16,20
17,20
18,20
19,20
20,20
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,40
29,40
30,40
31,40
32,40
33,40
34,40
35,40
36,196
37,196
38,196
39,196
40,196
41,196
42,196
43,196
44,30
45,30
46,30
47,30
48,30
49,196
50,196
51,196
52,196
53,128
54,128
55,128
56,128
57,4
58,4
59,4
60,4
61,196
62,196
63,196
64,196
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,50
74,50
75,50
76,50
77,50
78,6
79,6
80,6
81,6
82,6
83,6
84,128
85,128
86,128
87,128
88,45
89,45
90,45
91,45
92,45
93,52
94,52
95,52
96,52
97,5
98,5
99,5
100,5
101,5
102,45
103,45
104,45
105,45
106,45
107,24
108,24
109,24
110,24
111,24
112,24
113,128
114,128
115,128
116,128
117,48
118,48
119,48
120,48
121,48
122,48
123,48
124,48
125,10
126,10
127,10
128,10
129,10
130,24
131,24
132,24
133,24
134,24
135,24
136,128
137,128
138,128
139,128
140,5
141,5
142,5
143,5
144,5
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,196
153,196
154,196
155,196
156,30
157,30
158,30
159,30
160,30
161,128
162,128
163,128
164,128
165,100
166,100
167,100
168,100
169,20
170,20
171,20
172,20
173,196
174,196
175,196
176,196
177,52
178,52
179,52
180,52
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,5
190,5
191,5
192,5
193,5
194,40
195,40
196,40
197,40
198,128
199,128
200,128
201,128
202,128
203,128
204,128
205,128
206,45
207,45
208,45
209,45
210,45
211,84
212,84
213,84
214,84
215,12
216,12
217,12
218,12
219,12
220,12
221,196
222,196
223,196
224,196
225,196
226,196
227,196
228,196
229,196
230,196
231,196
232,196
233,5
234,5
235,5
236,5
237,5
238,100
239,100
240,100
241,100
242,196
243,196
244,196
245,196
246,196
247,196
248,196
249,196
250,40
251,40
252,40
253,40
254,128
255,128
256,128
257,128
258,8
259,8
260,8
261,8
262,8
263,8
264,8
265,8
266,45
267,45
268,45
269,45
270,45
271,84
272,84
273,84
274,84
275,18
276,18
277,18
278,18
279,18
280,18
281,100
282,100
283,100
284,100
285,52
286,52
287,52
288,52
289,18
290,18
291,18
292,18
293,18
294,18
295,16
296,16
297,16
298,16
299,50
300,50
301,50
302,50
303,50
304,20
305,20
306,20
307,20
308,84
309,84
310,84
311,84
312,56
313,56
314,56
315,56
316,56
317,56
318,56
319,56
320,56
321,56
322,56
323,56
324,56
325,56
326,56
327,56
328,6
329,6
330,6
331,6
332,6
333,6
334,45
335,45
336,45
337,45
338,45
339,5
340,5
341,5
342,5
343,5
344,45
345,45
346,45
347,45
348,45
349,100
350,100
351,100
352,100
353,196
354,196
355,196
356,196
357,196
358,196
359,196
360,196
361,48
362,48
363,48
364,48
365,48
366,48
367,48
368,48
369,196
370,196
371,196
372,196
373,52
374,52
375,52
376,52
377,45
378,45
379,45
380,45
381,45
382,10
383,10
384,10
385,10
386,10
387,45
388,45
389,45
390,45
391,45
392,84
393,84
394,84
395,84
396,128
397,128
398,128
399,128
400,14
401,14
402,14
403,14
404,14
405,14
406,14
407,48
408,48
409,48
410,48
411,48
412,48
413,48
414,48
415,16
416,16
417,16
418,16
419,50
420,50
421,50
422,50
423,50
424,14
425,14
426,14
427,14
428,14
429,14
430,14
431,52
432,52
433,52
434,52
435,52
436,52
437,52
438,52
439,52
440,52
441,52
442,52
443,5
444,5
445,5
446,5
447,5
448,52
449,52
450,52
451,52
452,52
453,52
454,52
455,52
456,10
457,10
458,10
459,10
460,10
461,84
462,84
463,84
464,84
465,52
466,52
467,52
468,52
469,14
470,14
471,14
472,14
473,14
474,14
475,14
476,100
477,100
478,100
479,100
480,196
481,196
482,196
483,196
484,45
485,45
486,45
487,45
488,45
489,196
490,196
491,196
492,196
493,196
494,196
495,196
496,196
497,84
498,84
499,84
500,84
501,6
502,6
503,6
504,6
505,6
506,6
507,30
508,30
509,30
510,30
511,30
512,45
513,45
514,45
515,45
516,45
