x,y,value
1,0,home&garden
1,1,handbags
2,0,home&garden
2,1,handbags
3,0,handbags
3,1,clothing
4,0,shoes
4,1,clothing
4,2,handbags
5,0,home&garden
5,1,handbags
6,0,clothing
6,1,handbags
6,2,home&garden
6,3,electronics
7,0,home&garden
7,1,handbags
7,2,clothing
7,3,shoes
8,0,home&garden
8,1,computers
8,2,handbags
9,0,handbags
9,1,clothing
10,0,handbags
10,1,shoes
11,0,handbags
11,1,clothing
12,0,handbags
12,1,clothing
13,0,clothing
13,1,handbags
14,0,home&garden
14,1,handbags
15,0,handbags
15,1,movies
15,2,games
16,0,electronics
16,1,handbags
16,2,clothing
17,0,shoes
17,1,movies
17,2,computers
17,3,home&garden
17,4,handbags
18,0,movies
18,1,computers
18,2,home&garden
18,3,handbags
18,4,clothing
18,5,shoes
19,0,computers
19,1,home&garden
19,2,handbags
19,3,clothing
19,4,shoes
20,0,handbags
20,1,shoes
21,0,home&garden
21,1,computers
21,2,handbags
22,0,electronics
22,1,computers
22,2,home&garden
22,3,handbags
22,4,clothing
23,0,shoes
23,1,handbags
23,2,clothing
24,0,electronics
24,1,computers
24,2,home&garden
24,3,handbags
25,0,computers
25,1,home&garden
25,2,handbags
26,0,handbags
26,1,home&garden
26,2,clothing
27,0,computers
27,1,home&garden
27,2,handbags
27,3,clothing
28,0,handbags
28,1,home&garden
29,0,handbags
29,1,clothing
29,2,shoes
30,0,home&garden
30,1,handbags
31,0,home&garden
31,1,handbags
32,0,handbags
32,1,clothing
33,0,clothing
33,1,handbags
34,0,games
34,1,electronics
34,2,computers
34,3,home&garden
34,4,handbags
35,0,shoes
35,1,handbags
36,0,home&garden
36,1,handbags
37,0,home&garden
37,1,handbags
38,0,home&garden
38,1,handbags
39,0,handbags
39,1,clothing
40,0,shoes
40,1,clothing
40,2,handbags
41,0,handbags
41,1,clothing
42,0,electronics
42,1,computers
42,2,home&garden
42,3,handbags
43,0,handbags
43,1,clothing
44,0,clothing
44,1,handbags
45,0,handbags
45,1,clothing
46,0,home&garden
46,1,handbags
47,0,handbags
47,1,tools
48,0,home&garden
48,1,handbags
49,0,handbags
49,1,clothing
50,0,handbags
50,1,home&garden
51,0,clothing
51,1,handbags
52,0,handbags
