x,count
1,808
2,808
3,808
4,808
5,808
6,808
7,808
8,808
9,1032
10,1032
11,1032
12,1032
13,15
14,15
15,15
16,15
17,15
18,808
19,808
20,808
21,808
22,6
23,6
24,6
25,6
26,6
27,6
28,108
29,108
30,108
31,108
32,108
33,108
34,25
35,25
36,25
37,25
38,25
39,1032
40,1032
41,1032
42,1032
43,68
44,68
45,68
46,68
47,1032
48,1032
49,1032
50,1032
51,1032
52,1032
53,1032
54,1032
55,424
56,424
57,424
58,424
59,808
60,808
61,808
62,808
63,20
64,20
65,20
66,20
67,20
68,5
69,5
70,5
71,5
72,5
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,40
81,40
82,40
83,40
84,40
85,40
86,40
87,40
88,63
89,63
90,63
91,63
92,63
93,63
94,63
95,68
96,68
97,68
98,68
99,25
100,25
101,25
102,25
103,25
104,105
105,105
106,105
107,105
108,105
109,105
110,105
111,55
112,55
113,55
114,55
115,55
116,156
117,156
118,156
119,156
120,156
121,156
122,290
123,290
124,290
125,290
126,290
127,10
128,10
129,10
130,10
131,10
132,132
133,132
134,132
135,132
136,132
137,132
138,120
139,120
140,120
141,120
142,170
143,170
144,170
145,170
146,170
147,808
148,808
149,808
150,808
151,808
152,808
153,808
154,808
155,1032
156,1032
157,1032
158,1032
159,424
160,424
161,424
162,424
163,42
164,42
165,42
166,42
167,42
168,42
169,42
170,144
171,144
172,144
173,144
174,808
175,808
176,808
177,808
178,808
179,808
180,808
181,808
182,808
183,808
184,808
185,808
186,1032
187,1032
188,1032
189,1032
190,15
191,15
192,15
193,15
194,15
195,1032
196,1032
197,1032
198,1032
199,156
200,156
201,156
202,156
203,156
204,156
205,1032
206,1032
207,1032
208,1032
209,424
210,424
211,424
212,424
213,1032
214,1032
215,1032
216,1032
217,808
218,808
219,808
220,808
221,64
222,64
223,64
224,64
225,808
226,808
227,808
228,808
229,1032
230,1032
231,1032
232,1032
233,120
234,120
235,120
236,120
237,424
238,424
239,424
240,424
241,1032
242,1032
243,1032
244,1032
245,108
246,108
247,108
248,108
249,108
250,108
251,170
252,170
253,170
254,170
255,170
256,85
257,85
258,85
259,85
260,85
261,54
262,54
263,54
264,54
265,54
266,54
267,132
268,132
269,132
270,132
271,132
272,132
273,156
274,156
275,156
276,156
277,156
278,156
279,170
280,170
281,170
282,170
283,170
284,315
285,315
286,315
287,315
288,315
289,808
290,808
291,808
292,808
293,1032
294,1032
295,1032
296,1032
297,424
298,424
299,424
300,424
301,808
302,808
303,808
304,808
305,808
306,808
307,808
308,808
309,85
310,85
311,85
312,85
313,85
314,424
315,424
316,424
317,424
318,1032
319,1032
320,1032
321,1032
322,1032
323,1032
324,1032
325,1032
326,315
327,315
328,315
329,315
330,315
331,424
332,424
333,424
334,424
335,15
336,15
337,15
338,15
339,15
340,1032
341,1032
342,1032
343,1032
344,1032
345,1032
346,1032
347,1032
348,1032
349,1032
350,1032
351,1032
352,156
353,156
354,156
355,156
356,156
357,156
358,144
359,144
360,144
361,144
362,1032
363,1032
364,1032
365,1032
366,55
367,55
368,55
369,55
370,55
371,63
372,63
373,63
374,63
375,63
376,63
377,63
378,808
379,808
380,808
381,808
382,108
383,108
384,108
385,108
386,108
387,108
388,1032
389,1032
390,1032
391,1032
392,1032
393,1032
394,1032
395,1032
396,808
397,808
398,808
399,808
400,85
401,85
402,85
403,85
404,85
405,12
406,12
407,12
408,12
409,12
410,12
411,1032
412,1032
413,1032
414,1032
415,808
416,808
417,808
418,808
419,290
420,290
421,290
422,290
423,290
424,808
425,808
426,808
427,808
428,808
429,808
430,808
431,808
432,808
433,808
434,808
435,808
436,144
437,144
438,144
439,144
440,424
441,424
442,424
443,424
444,1032
445,1032
446,1032
447,1032
448,1032
449,1032
450,1032
