x,y,value
1,0,health
1,1,news
1,2,tech
1,3,news
1,4,front-page
1,5,on-air
1,6,business
1,7,health
1,8,on-air
1,9,health
1,10,misc
1,11,health
1,12,misc
1,13,health
2,0,health
2,1,front-page
2,2,health
2,3,on-air
2,4,news
2,5,health
2,6,business
2,7,news
2,8,on-air
2,9,health
2,10,on-air
2,11,health
2,12,news
2,13,on-air
2,14,health
2,15,business
2,16,health
3,0,health
3,1,news
3,2,living
3,3,health
3,4,news
3,5,on-air
3,6,news
3,7,health
3,8,news
3,9,health
3,10,on-air
3,11,health
3,12,news
4,0,health
4,1,on-air
4,2,misc
4,3,health
4,4,living
4,5,on-air
4,6,news
4,7,front-page
4,8,news
4,9,health
5,0,health
5,1,summary
5,2,living
5,3,summary
5,4,health
5,5,misc
5,6,health
5,7,misc
5,8,health
5,9,tech
6,0,health
6,1,news
6,2,on-air
6,3,news
6,4,on-air
6,5,news
6,6,health
6,7,news
6,8,health
6,9,tech
6,10,health
6,11,news
6,12,on-air
7,0,health
7,1,misc
7,2,local
7,3,misc
7,4,local
7,5,health
7,6,news
7,7,local
7,8,health
8,0,health
8,1,on-air
8,2,health
8,3,on-air
8,4,news
8,5,tech
8,6,health
8,7,news
8,8,local
9,0,health
9,1,news
9,2,local
9,3,sports
9,4,living
9,5,sports
9,6,business
9,7,sports
9,8,business
10,0,health
10,1,misc
10,2,health
10,3,on-air
10,4,misc
10,5,on-air
10,6,misc
10,7,on-air
10,8,misc
10,9,on-air
11,0,health
11,1,front-page
11,2,health
11,3,front-page
11,4,health
11,5,front-page
11,6,health
11,7,front-page
11,8,health
12,0,health
12,1,msn-news
12,2,living
12,3,business
12,4,news
12,5,tech
12,6,business
12,7,tech
12,8,business
12,9,health
12,10,tech
12,11,on-air
12,12,tech
12,13,business
12,14,tech
12,15,business
12,16,news
13,0,health
13,1,news
13,2,front-page
13,3,misc
13,4,local
13,5,misc
13,6,local
13,7,news
13,8,local
14,0,health
14,1,front-page
14,2,news
14,3,front-page
14,4,news
14,5,business
14,6,news
14,7,local
14,8,misc
14,9,local
14,10,misc
14,11,local
14,12,news
15,0,health
15,1,front-page
15,2,health
15,3,news
15,4,health
15,5,news
15,6,front-page
15,7,on-air
15,8,misc
15,9,health
15,10,news
15,11,health
15,12,news
15,13,on-air
15,14,news
15,15,front-page
15,16,business
15,17,news
15,18,business
15,19,front-page
15,20,on-air
15,21,health
15,22,news
15,23,on-air
15,24,misc
15,25,health
15,26,on-air
15,27,summary
15,28,front-page
15,29,on-air
15,30,health
16,0,health
16,1,summary
16,2,on-air
16,3,summary
16,4,on-air
16,5,summary
16,6,on-air
16,7,summary
16,8,on-air
16,9,summary
16,10,on-air
16,11,summary
17,0,health
17,1,msn-news
17,2,living
17,3,local
17,4,health
17,5,tech
17,6,news
17,7,local
17,8,health
18,0,health
18,1,on-air
18,2,summary
18,3,opinion
18,4,misc
18,5,on-air
18,6,misc
18,7,on-air
18,8,misc
18,9,on-air
18,10,news
18,11,tech
18,12,sports
19,0,health
19,1,misc
19,2,health
19,3,local
19,4,misc
19,5,local
19,6,misc
19,7,local
19,8,news
20,0,health
20,1,on-air
20,2,front-page
20,3,health
20,4,news
20,5,business
20,6,health
20,7,business
20,8,health
20,9,news
20,10,front-page
20,11,on-air
20,12,news
21,0,health
21,1,summary
21,2,health
21,3,summary
21,4,health
21,5,business
21,6,tech
21,7,news
21,8,tech
22,0,health
22,1,news
22,2,front-page
22,3,on-air
22,4,health
22,5,news
22,6,health
22,7,on-air
22,8,tech
22,9,on-air
23,0,health
23,1,misc
23,2,local
23,3,misc
23,4,local
23,5,misc
23,6,local
23,7,misc
23,8,local
23,9,misc
23,10,local
23,11,misc
23,12,local
23,13,sports
23,14,on-air
23,15,misc
23,16,local
23,17,weather
23,18,misc
23,19,local
23,20,news
23,21,sports
23,22,front-page
23,23,on-air
23,24,sports
23,25,front-page
23,26,news
23,27,local
23,28,weather
23,29,local
23,30,sports
24,0,health
24,1,misc
24,2,health
24,3,misc
24,4,health
24,5,misc
24,6,health
24,7,misc
24,8,health
24,9,news
24,10,health
24,11,news
24,12,health
25,0,health
25,1,misc
25,2,health
25,3,on-air
25,4,summary
25,5,opinion
25,6,msn-news
25,7,tech
25,8,living
26,0,health
26,1,front-page
26,2,opinion
26,3,front-page
26,4,health
26,5,front-page
26,6,health
26,7,front-page
26,8,health
26,9,front-page
26,10,health
26,11,front-page
26,12,health
26,13,front-page
26,14,health
26,15,front-page
26,16,health
26,17,front-page
26,18,health
26,19,front-page
27,0,health
27,1,front-page
27,2,health
27,3,front-page
27,4,news
27,5,front-page
27,6,misc
27,7,local
27,8,front-page
27,9,health
27,10,front-page
27,11,health
27,12,front-page
27,13,news
28,0,health
28,1,on-air
28,2,summary
28,3,health
28,4,summary
28,5,misc
28,6,on-air
28,7,misc
28,8,on-air
28,9,summary
28,10,on-air
28,11,summary
28,12,living
28,13,weather
28,14,on-air
28,15,news
28,16,on-air
28,17,news
28,18,misc
28,19,local
28,20,misc
28,21,local
28,22,tech
28,23,news
29,0,health
29,1,tech
29,2,summary
29,3,on-air
29,4,misc
29,5,on-air
29,6,misc
29,7,on-air
29,8,health
29,9,news
29,10,summary
29,11,news
29,12,summary
29,13,opinion
29,14,summary
30,0,health
30,1,business
30,2,health
30,3,living
30,4,travel
30,5,living
30,6,local
30,7,living
30,8,travel
30,9,living
30,10,travel
30,11,living
30,12,travel
31,0,health
31,1,summary
31,2,health
31,3,tech
31,4,health
31,5,tech
31,6,misc
31,7,local
31,8,misc
31,9,local
31,10,tech
32,0,health
32,1,summary
32,2,tech
32,3,summary
32,4,health
32,5,summary
32,6,on-air
32,7,summary
32,8,living
32,9,summary
32,10,on-air
32,11,summary
32,12,misc
32,13,on-air
32,14,summary
32,15,opinion
32,16,summary
32,17,opinion
32,18,summary
32,19,health
32,20,summary
32,21,health
32,22,news
32,23,summary
32,24,opinion
33,0,health
33,1,on-air
33,2,misc
33,3,health
33,4,news
33,5,on-air
33,6,front-page
33,7,on-air
33,8,misc
33,9,local
33,10,misc
33,11,local
34,0,health
34,1,news
34,2,local
34,3,on-air
34,4,news
34,5,local
34,6,on-air
34,7,health
34,8,living
35,0,health
35,1,on-air
35,2,misc
35,3,on-air
35,4,misc
35,5,on-air
35,6,health
35,7,summary
35,8,health
36,0,health
36,1,front-page
36,2,on-air
36,3,misc
36,4,health
36,5,front-page
36,6,health
36,7,on-air
36,8,misc
37,0,health
37,1,local
37,2,on-air
37,3,news
37,4,misc
37,5,local
37,6,misc
37,7,local
37,8,on-air
38,0,health
38,1,summary
38,2,living
38,3,summary
38,4,on-air
38,5,summary
38,6,misc
38,7,on-air
38,8,misc
38,9,on-air
38,10,summary
38,11,opinion
38,12,summary
38,13,on-air
38,14,summary
39,0,health
39,1,on-air
39,2,news
39,3,misc
39,4,local
39,5,misc
39,6,local
39,7,health
39,8,local
39,9,misc
39,10,local
39,11,front-page
40,0,health
40,1,front-page
40,2,tech
40,3,health
40,4,front-page
40,5,news
40,6,front-page
40,7,health
40,8,sports
41,0,health
41,1,front-page
41,2,health
41,3,front-page
41,4,health
41,5,news
41,6,front-page
41,7,news
41,8,front-page
41,9,on-air
42,0,health
42,1,weather
42,2,health
42,3,on-air
42,4,summary
42,5,tech
42,6,summary
42,7,on-air
42,8,health
42,9,misc
42,10,health
42,11,misc
42,12,health
43,0,health
43,1,news
43,2,on-air
43,3,misc
43,4,news
43,5,on-air
43,6,news
43,7,on-air
43,8,news
43,9,health
43,10,news
43,11,health
43,12,on-air
43,13,tech
43,14,on-air
43,15,front-page
43,16,misc
43,17,front-page
43,18,on-air
44,0,health
44,1,front-page
44,2,health
44,3,tech
44,4,front-page
44,5,msn-sports
44,6,front-page
44,7,news
44,8,front-page
45,0,health
45,1,front-page
45,2,on-air
45,3,front-page
45,4,news
45,5,front-page
45,6,news
45,7,front-page
45,8,news
45,9,tech
46,0,health
46,1,sports
46,2,business
46,3,on-air
46,4,local
46,5,opinion
46,6,living
46,7,tech
46,8,news
46,9,opinion
46,10,on-air
47,0,health
47,1,misc
47,2,health
