x,y,value
1,0,home&garden
1,1,handbags
2,0,computers
2,1,home&garden
3,0,computers
3,1,home&garden
4,0,home&garden
4,1,handbags
5,0,home&garden
5,1,handbags
6,0,clothing
6,1,handbags
6,2,home&garden
6,3,electronics
7,0,shoes
7,1,movies
7,2,computers
7,3,home&garden
8,0,home&garden
8,1,handbags
8,2,clothing
8,3,shoes
9,0,computers
9,1,home&garden
10,0,home&garden
10,1,computers
10,2,handbags
11,0,home&garden
11,1,handbags
12,0,shoes
12,1,movies
12,2,computers
12,3,home&garden
12,4,handbags
13,0,movies
13,1,computers
13,2,home&garden
13,3,handbags
13,4,clothing
13,5,shoes
14,0,computers
14,1,home&garden
14,2,handbags
14,3,clothing
14,4,shoes
15,0,home&garden
15,1,computers
15,2,handbags
16,0,electronics
16,1,computers
16,2,home&garden
16,3,handbags
16,4,clothing
17,0,electronics
17,1,computers
17,2,home&garden
17,3,handbags
18,0,computers
18,1,home&garden
18,2,handbags
19,0,handbags
19,1,home&garden
19,2,clothing
20,0,computers
20,1,home&garden
20,2,handbags
20,3,clothing
21,0,handbags
21,1,home&garden
22,0,home&garden
22,1,handbags
23,0,home&garden
23,1,handbags
24,0,shoes
24,1,home&garden
25,0,computers
25,1,home&garden
26,0,games
26,1,electronics
26,2,computers
26,3,home&garden
26,4,handbags
27,0,home&garden
27,1,handbags
28,0,home&garden
28,1,handbags
29,0,home&garden
29,1,handbags
30,0,home&garden
30,1,computers
31,0,electronics
31,1,home&garden
32,0,electronics
32,1,computers
32,2,home&garden
32,3,handbags
33,0,home&garden
33,1,handbags
34,0,home&garden
34,1,handbags
35,0,handbags
35,1,home&garden
36,0,home&garden
36,1,electronics
37,0,home&garden
37,1,handbags
37,2,clothing
37,3,shoes
38,0,clothing
38,1,home&garden
38,2,handbags
39,0,clothing
39,1,computers
39,2,home&garden
39,3,handbags
40,0,computers
40,1,home&garden
40,2,handbags
40,3,clothing
41,0,electronics
41,1,computers
41,2,home&garden
41,3,handbags
42,0,home&garden
42,1,handbags
42,2,clothing
43,0,home&garden
43,1,handbags
44,0,home&garden
44,1,handbags
45,0,home&garden
45,1,handbags
46,0,clothing
46,1,home&garden
46,2,handbags
47,0,home&garden
47,1,handbags
47,2,clothing
