x,count
1,808
2,808
3,808
4,808
5,248
6,248
7,248
8,248
9,248
10,248
11,248
12,248
13,808
14,808
15,808
16,808
17,808
18,808
19,808
20,808
21,6
22,6
23,6
24,6
25,6
26,6
27,12
28,12
29,12
30,12
31,12
32,12
33,108
34,108
35,108
36,108
37,108
38,108
39,248
40,248
41,248
42,248
43,25
44,25
45,25
46,25
47,25
48,808
49,808
50,808
51,808
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,40
60,40
61,40
62,40
63,40
64,40
65,40
66,40
67,63
68,63
69,63
70,63
71,63
72,63
73,63
74,25
75,25
76,25
77,25
78,25
79,105
80,105
81,105
82,105
83,105
84,105
85,105
86,156
87,156
88,156
89,156
90,156
91,156
92,290
93,290
94,290
95,290
96,290
97,10
98,10
99,10
100,10
101,10
102,132
103,132
104,132
105,132
106,132
107,132
108,120
109,120
110,120
111,120
112,808
113,808
114,808
115,808
116,808
117,808
118,808
119,808
120,80
121,80
122,80
123,80
124,248
125,248
126,248
127,248
128,42
129,42
130,42
131,42
132,42
133,42
134,42
135,808
136,808
137,808
138,808
139,808
140,808
141,808
142,808
143,808
144,808
145,808
146,808
147,24
148,24
149,24
150,24
151,44
152,44
153,44
154,44
155,156
156,156
157,156
158,156
159,156
160,156
161,808
162,808
163,808
164,808
165,808
166,808
167,808
168,808
169,120
170,120
171,120
172,120
173,16
174,16
175,16
176,16
177,108
178,108
179,108
180,108
181,108
182,108
183,85
184,85
185,85
186,85
187,85
188,54
189,54
190,54
191,54
192,54
193,54
194,132
195,132
196,132
197,132
198,132
199,132
200,156
201,156
202,156
203,156
204,156
205,156
206,315
207,315
208,315
209,315
210,315
211,808
212,808
213,808
214,808
215,808
216,808
217,808
218,808
219,808
220,808
221,808
222,808
223,85
224,85
225,85
226,85
227,85
228,315
229,315
230,315
231,315
232,315
233,248
234,248
235,248
236,248
237,120
238,120
239,120
240,120
241,156
242,156
243,156
244,156
245,156
246,156
247,63
248,63
249,63
250,63
251,63
252,63
253,63
254,808
255,808
256,808
257,808
258,108
259,108
260,108
261,108
262,108
263,108
264,248
265,248
266,248
267,248
268,808
269,808
270,808
271,808
272,248
273,248
274,248
275,248
276,85
277,85
278,85
279,85
280,85
281,12
282,12
283,12
284,12
285,12
286,12
287,248
288,248
289,248
290,248
291,808
292,808
293,808
294,808
295,290
296,290
297,290
298,290
299,290
300,808
301,808
302,808
303,808
304,808
305,808
306,808
307,808
308,808
309,808
310,808
311,808
312,116
313,116
314,116
315,116
316,248
317,248
318,248
319,248
320,5
321,5
322,5
323,5
324,5
325,156
326,156
327,156
328,156
329,156
330,156
331,315
332,315
333,315
334,315
335,315
336,808
337,808
338,808
339,808
340,808
341,808
342,808
343,808
344,45
345,45
346,45
347,45
348,45
349,808
350,808
351,808
352,808
353,24
354,24
355,24
356,24
357,24
358,24
359,808
360,808
361,808
362,808
363,100
364,100
365,100
366,100
367,100
368,290
369,290
370,290
371,290
372,290
373,48
374,48
375,48
376,48
377,48
378,48
379,48
380,48
381,24
382,24
383,24
384,24
385,24
386,24
387,116
388,116
389,116
390,116
391,248
392,248
393,248
394,248
395,290
396,290
397,290
398,290
399,290
400,132
401,132
402,132
403,132
404,132
405,132
406,808
407,808
408,808
409,808
410,808
411,808
412,808
413,808
414,808
415,808
416,808
417,808
418,120
419,120
420,120
421,120
422,808
423,808
424,808
425,808
426,315
427,315
428,315
429,315
430,315
431,120
432,120
433,120
434,120
435,290
436,290
437,290
438,290
439,290
440,100
441,100
442,100
443,100
444,100
445,808
446,808
447,808
448,808
449,808
450,808
451,808
452,808
453,248
454,248
455,248
456,248
457,315
458,315
459,315
460,315
461,315
462,5
463,5
464,5
465,5
466,5
467,7
468,7
469,7
470,7
471,7
472,7
473,7
