x,y,value
1,0,living
1,1,front-page
1,2,news
1,3,front-page
1,4,opinion
1,5,front-page
1,6,on-air
1,7,front-page
1,8,on-air
1,9,front-page
1,10,opinion
2,0,on-air
2,1,news
2,2,summary
2,3,news
2,4,front-page
2,5,news
2,6,weather
2,7,opinion
2,8,on-air
2,9,misc
2,10,tech
2,11,health
2,12,living
2,13,sports
2,14,business
2,15,news
2,16,summary
2,17,front-page
2,18,misc
2,19,on-air
2,20,misc
2,21,on-air
2,22,misc
2,23,local
2,24,misc
2,25,on-air
2,26,misc
2,27,on-air
2,28,misc
2,29,weather
2,30,misc
2,31,opinion
2,32,on-air
2,33,misc
2,34,living
2,35,health
2,36,misc
2,37,sports
2,38,news
2,39,business
2,40,tech
2,41,front-page
2,42,misc
2,43,on-air
2,44,local
2,45,sports
2,46,news
2,47,sports
2,48,news
2,49,sports
2,50,news
2,51,sports
2,52,bbs
2,53,sports
2,54,bbs
2,55,sports
3,0,msn-news
3,1,msn-sports
3,2,weather
3,3,on-air
3,4,business
3,5,msn-news
3,6,business
3,7,msn-news
3,8,msn-sports
3,9,weather
3,10,on-air
3,11,business
3,12,msn-news
3,13,business
3,14,msn-news
3,15,msn-sports
3,16,weather
3,17,on-air
3,18,business
3,19,msn-news
3,20,business
3,21,living
3,22,msn-news
3,23,msn-sports
3,24,weather
3,25,on-air
3,26,msn-news
3,27,tech
3,28,msn-news
3,29,msn-sports
3,30,weather
3,31,on-air
3,32,msn-news
3,33,msn-sports
3,34,weather
3,35,on-air
3,36,msn-news
3,37,tech
3,38,msn-news
3,39,msn-sports
3,40,weather
3,41,tech
3,42,msn-news
3,43,msn-sports
3,44,msn-news
3,45,msn-sports
3,46,weather
3,47,msn-news
3,48,msn-sports
3,49,weather
3,50,tech
3,51,sports
3,52,msn-news
3,53,msn-sports
3,54,weather
3,55,tech
3,56,sports
3,57,msn-news
3,58,msn-sports
3,59,weather
3,60,tech
3,61,msn-news
3,62,msn-sports
3,63,weather
3,64,tech
3,65,sports
3,66,msn-news
4,0,on-air
4,1,summary
4,2,opinion
4,3,on-air
4,4,news
4,5,front-page
4,6,news
4,7,weather
4,8,on-air
4,9,health
4,10,living
4,11,sports
4,12,tech
4,13,misc
4,14,news
