x,y,value
1,0,misc
1,1,front-page
1,2,news
1,3,local
1,4,front-page
1,5,misc
1,6,local
1,7,front-page
1,8,misc
1,9,local
2,0,misc
2,1,msn-news
2,2,front-page
2,3,local
2,4,front-page
2,5,local
2,6,msn-news
2,7,misc
2,8,front-page
2,9,local
3,0,misc
3,1,front-page
3,2,bbs
3,3,sports
3,4,bbs
3,5,sports
3,6,bbs
3,7,sports
3,8,bbs
3,9,tech
3,10,bbs
3,11,tech
3,12,news
4,0,misc
4,1,msn-news
4,2,news
4,3,msn-news
4,4,local
4,5,msn-news
4,6,misc
4,7,local
4,8,misc
4,9,local
4,10,msn-news
4,11,living
4,12,opinion
5,0,misc
5,1,news
5,2,front-page
5,3,news
5,4,on-air
5,5,misc
5,6,local
5,7,misc
5,8,local
5,9,health
6,0,misc
6,1,front-page
6,2,misc
6,3,front-page
6,4,misc
6,5,front-page
6,6,misc
6,7,front-page
6,8,misc
6,9,front-page
6,10,misc
6,11,front-page
6,12,business
6,13,news
6,14,health
6,15,front-page
6,16,health
6,17,front-page
7,0,misc
7,1,local
7,2,misc
7,3,local
7,4,on-air
7,5,local
7,6,misc
7,7,local
7,8,misc
7,9,local
8,0,misc
8,1,front-page
8,2,business
8,3,front-page
8,4,travel
8,5,front-page
8,6,living
8,7,front-page
8,8,news
8,9,front-page
8,10,living
8,11,front-page
8,12,weather
8,13,front-page
9,0,misc
9,1,front-page
9,2,on-air
9,3,front-page
9,4,on-air
9,5,misc
9,6,front-page
9,7,on-air
9,8,front-page
9,9,on-air
9,10,front-page
9,11,local
9,12,front-page
10,0,misc
10,1,local
10,2,misc
10,3,local
10,4,misc
10,5,local
10,6,misc
10,7,local
10,8,misc
10,9,local
10,10,misc
10,11,local
10,12,misc
10,13,local
11,0,misc
11,1,front-page
11,2,local
11,3,front-page
11,4,news
11,5,front-page
11,6,news
11,7,misc
11,8,local
11,9,front-page
11,10,misc
11,11,local
11,12,on-air
11,13,local
11,14,front-page
11,15,news
11,16,front-page
11,17,news
11,18,front-page
12,0,misc
12,1,local
12,2,misc
12,3,local
12,4,misc
12,5,local
12,6,misc
12,7,local
12,8,misc
12,9,local
12,10,misc
12,11,local
12,12,misc
12,13,local
13,0,misc
13,1,front-page
13,2,misc
13,3,front-page
13,4,news
13,5,health
13,6,sports
13,7,health
13,8,living
13,9,on-air
14,0,misc
14,1,local
14,2,misc
14,3,local
14,4,misc
14,5,local
14,6,news
14,7,front-page
14,8,health
14,9,front-page
15,0,misc
15,1,front-page
15,2,misc
15,3,front-page
15,4,local
15,5,front-page
15,6,health
15,7,news
15,8,health
16,0,misc
16,1,local
16,2,misc
16,3,local
16,4,misc
16,5,local
16,6,misc
16,7,local
16,8,misc
16,9,local
16,10,msn-news
16,11,misc
16,12,msn-news
17,0,misc
17,1,local
17,2,misc
17,3,news
17,4,local
17,5,misc
17,6,local
17,7,misc
17,8,local
18,0,misc
18,1,front-page
18,2,news
18,3,front-page
18,4,news
18,5,sports
18,6,misc
18,7,front-page
18,8,summary
19,0,misc
19,1,front-page
19,2,local
19,3,front-page
19,4,business
19,5,misc
19,6,front-page
19,7,tech
19,8,front-page
19,9,tech
19,10,front-page
19,11,on-air
19,12,front-page
19,13,misc
20,0,misc
20,1,local
20,2,misc
20,3,local
20,4,front-page
20,5,local
20,6,summary
20,7,news
20,8,opinion
20,9,news
20,10,summary
20,11,local
20,12,living
20,13,on-air
20,14,health
20,15,local
21,0,misc
21,1,front-page
21,2,business
