seq,count
1,21
2,21
3,27
4,27
5,21
6,37
7,21
8,29
9,27
10,116
11,39
12,21
13,21
14,19
15,27
16,19
17,19
18,29
19,33
20,21
21,39
22,27
23,19
24,21
25,25
26,19
27,63
28,38
29,27
30,50
31,35
32,105
33,31
34,45
35,23
36,23
37,33
38,21
39,29
40,29
41,53
42,27
43,29
44,25
45,35
46,31
47,31
48,25
49,49
50,23
51,19
52,19
53,29
54,23
55,19
56,37
57,25
58,23
59,19
60,25
61,23
62,21
63,21
64,23
65,19
66,21
67,23
68,21
69,29
70,29
71,21
72,27
73,38
74,31
75,27
76,25
77,21
78,31
79,39
80,39
81,33
82,35
83,25
84,21
85,23
86,21
87,19
88,35
89,97
90,31
91,21
92,23
93,69
94,21
95,37
96,21
97,27
98,19
99,25
100,39
101,23
102,27
103,27
104,19
105,25
106,31
107,19
108,33
109,27
110,19
111,21
112,67
113,57
114,21
115,25
116,45
117,21
118,35
119,19
120,21
121,29
122,25
123,25
124,29
125,27
126,25
127,71
128,23
129,45
130,19
131,53
132,19
133,21
134,19
135,19
136,29
137,47
138,19
139,29
140,21
141,19
142,19
143,19
144,21
145,25
146,23
147,23
148,19
149,25
150,23
151,25
152,33
153,25
154,19
155,19
156,19
157,25
158,21
159,19
160,19
161,25
162,33
163,23
164,47
165,50
166,27
167,25
168,31
169,19
170,23
171,21
172,31
173,21
174,19
175,49
176,45
177,33
178,25
179,19
180,23
181,23
182,21
183,23
184,55
185,31
186,49
187,29
188,21
189,21
190,19
191,25
192,19
193,21
194,25
195,27
196,23
197,29
198,39
199,21
200,27
201,27
202,37
203,19
204,21
205,21
206,19
207,19
208,19
209,21
210,21
211,21
212,39
213,19
214,19
215,41
216,37
217,23
218,39
219,29
220,25
221,19
222,27
223,19
224,21
225,23
226,51
227,23
228,29
229,35
230,33
231,19
232,19
233,19
234,19
235,29
236,23
237,21
238,21
239,61
240,21
241,29
242,21
243,27
244,19
245,33
246,29
247,33
248,27
249,35
250,35
251,25
