seq,count
1,31
2,21
3,150
4,31
5,21
6,19
7,23
8,29
9,29
10,37
11,19
12,35
13,25
14,19
15,27
16,27
17,19
18,21
19,21
20,21
21,19
22,27
23,19
24,33
25,27
26,21
27,19
28,23
29,19
30,25
31,31
32,27
33,55
34,39
35,29
36,25
37,29
38,31
39,25
40,33
41,21
42,39
43,27
44,19
45,25
46,19
47,41
48,19
49,25
50,23
51,19
52,29
53,19
54,21
55,33
56,29
57,27
58,65
59,37
60,25
61,59
62,21
63,19
64,19
65,33
66,23
67,21
68,87
69,21
70,19
71,21
72,95
73,23
74,21
75,33
76,21
77,45
78,23
79,51
80,21
81,29
82,35
83,33
84,29
85,23
86,19
87,29
88,23
89,35
90,29
91,27
92,25
93,23
94,41
95,27
96,21
97,23
98,41
99,19
100,19
101,31
102,19
103,27
104,63
105,19
106,29
107,39
108,19
109,19
110,39
111,71
112,19
113,21
114,41
115,21
116,39
117,19
118,19
119,21
120,109
121,21
122,29
123,29
124,19
125,21
126,21
127,19
128,33
129,75
130,23
131,29
132,41
133,47
134,19
135,31
136,21
137,29
138,25
139,27
140,19
141,21
142,23
143,21
144,19
145,27
146,47
147,23
148,49
149,19
150,21
151,25
152,38
153,21
154,19
155,31
156,23
157,25
158,38
159,21
160,19
161,21
162,31
163,55
164,21
165,21
166,21
167,33
168,39
169,25
170,27
171,25
172,33
173,38
174,19
175,39
176,19
177,27
178,21
179,21
180,27
181,57
182,27
183,33
184,21
185,21
186,37
187,19
188,23
189,19
190,23
191,29
192,19
193,45
194,29
195,43
196,19
197,19
198,25
199,25
200,35
201,33
202,19
203,23
204,29
205,29
206,21
207,41
208,19
209,19
210,47
211,31
212,23
213,21
214,21
215,119
216,21
217,19
218,21
219,25
220,19
221,19
222,25
223,21
224,23
225,21
226,19
227,35
228,31
229,29
230,25
231,21
232,19
233,29
234,25
235,21
236,19
237,25
238,29
239,23
240,31
241,67
242,33
243,19
244,19
245,51
246,29
247,19
248,25
249,27
250,31
251,25
252,45
253,19
254,61
255,49
256,21
257,19
258,21
259,21
260,25
261,29
262,25
263,21
264,27
265,23
266,23
267,31
268,27
269,25
270,19
271,31
272,25
273,29
274,33
275,61
276,21
277,33
278,21
279,21
280,19
281,21
282,19
283,51
284,19
285,23
286,23
287,19
288,27
289,23
290,31
291,25
292,37
293,29
294,23
295,29
296,21
297,23
298,19
299,23
300,21
301,23
302,29
303,19
304,23
305,23
306,31
307,19
308,37
309,33
310,21
311,27
312,21
313,21
314,21
315,21
316,63
317,21
318,27
319,19
320,21
321,37
322,31
323,21
324,19
325,19
326,21
327,19
328,29
329,21
330,19
331,29
332,53
333,33
334,19
335,35
336,21
337,43
338,31
339,107
340,87
341,25
342,21
343,55
344,19
345,25
346,21
347,19
348,25
349,35
350,21
351,19
352,35
353,19
354,19
355,35
356,21
357,19
358,19
359,21
360,21
361,25
362,23
363,27
364,27
365,25
366,39
367,29
368,19
369,21
370,23
371,49
372,23
373,19
374,19
375,19
376,29
377,21
378,19
379,21
380,126
381,27
382,21
383,39
384,25
385,19
386,43
387,19
388,27
389,19
390,21
391,31
392,51
393,29
394,21
395,61
396,27
397,35
398,31
399,21
400,45
401,19
402,21
403,23
404,55
405,51
406,45
407,19
408,25
409,29
410,45
411,21
412,25
413,19
414,45
415,41
416,21
417,29
418,23
419,21
420,19
421,141
422,21
423,23
424,39
425,95
426,25
427,23
428,39
429,23
430,23
431,21
432,19
433,19
434,33
435,25
436,23
437,23
438,19
439,23
440,87
441,19
442,49
443,23
444,19
445,23
446,19
447,29
448,21
449,29
450,179
451,19
452,29
453,23
454,25
455,25
456,21
457,19
458,29
459,23
460,19
461,41
462,19
463,37
464,19
465,27
466,77
467,25
468,21
469,45
470,51
471,21
472,29
473,39
474,33
475,29
476,21
477,23
478,27
479,23
480,21
481,19
482,27
483,23
484,27
485,19
486,19
487,21
488,27
489,27
490,23
491,23
492,43
493,23
494,19
495,21
496,25
497,23
498,21
499,25
500,19
501,35
502,19
503,23
504,21
505,61
506,23
507,23
508,25
509,19
510,21
511,19
512,19
513,31
514,25
515,39
516,19
517,27
518,27
519,27
520,31
521,35
522,41
523,23
524,29
525,19
526,21
527,21
528,25
529,69
530,21
531,19
532,27
533,77
534,81
535,33
536,27
537,21
538,27
539,27
540,23
541,21
542,41
543,27
544,129
545,25
546,21
547,23
548,45
549,27
550,25
551,23
552,21
553,23
554,21
555,19
556,19
557,37
558,19
559,45
560,19
561,21
562,23
563,47
564,27
565,29
566,67
567,25
568,19
569,21
570,23
571,19
572,33
573,25
574,71
575,19
576,25
577,45
578,33
579,27
580,25
581,39
582,29
583,19
584,19
585,19
586,53
587,21
588,21
589,19
590,31
591,23
592,39
593,45
594,19
595,21
596,29
597,27
598,37
599,19
600,19
601,23
602,95
603,21
604,19
605,31
606,31
607,21
608,19
609,33
610,39
611,91
612,23
613,43
614,23
615,19
616,21
617,29
618,69
619,23
620,23
621,25
622,38
623,73
624,29
625,21
626,27
627,19
628,21
629,23
630,37
631,21
632,25
633,19
634,57
635,21
636,43
637,23
638,27
639,19
640,27
641,29
642,23
643,43
644,31
645,19
646,21
647,19
648,61
649,89
650,33
651,47
652,45
653,35
654,33
655,27
656,29
657,33
658,19
659,23
660,29
661,21
662,29
663,41
664,29
665,25
666,21
667,163
668,25
669,27
670,25
671,23
672,41
673,19
674,29
675,21
676,27
677,21
678,25
679,45
680,21
681,37
682,19
683,25
684,35
685,25
686,33
687,31
688,31
689,21
690,23
691,45
692,19
693,25
694,25
695,19
