x,y,value
1,0,on-air
1,1,msn-news
1,2,local
1,3,health
1,4,tech
1,5,health
1,6,opinion
1,7,health
1,8,local
2,0,on-air
2,1,news
2,2,summary
2,3,news
2,4,front-page
2,5,news
2,6,weather
2,7,opinion
2,8,on-air
2,9,misc
2,10,tech
2,11,health
2,12,living
2,13,sports
2,14,business
2,15,news
2,16,summary
2,17,front-page
2,18,misc
2,19,on-air
2,20,misc
2,21,on-air
2,22,misc
2,23,local
2,24,misc
2,25,on-air
2,26,misc
2,27,on-air
2,28,misc
2,29,weather
2,30,misc
2,31,opinion
2,32,on-air
2,33,misc
2,34,living
2,35,health
2,36,misc
2,37,sports
2,38,news
2,39,business
2,40,tech
2,41,front-page
2,42,misc
2,43,on-air
2,44,local
2,45,sports
2,46,news
2,47,sports
2,48,news
2,49,sports
2,50,news
2,51,sports
2,52,bbs
2,53,sports
2,54,bbs
2,55,sports
3,0,on-air
3,1,summary
3,2,opinion
3,3,on-air
3,4,news
3,5,front-page
3,6,news
3,7,weather
3,8,on-air
3,9,health
3,10,living
3,11,sports
3,12,tech
3,13,misc
3,14,news
3,15,business
3,16,news
3,17,summary
3,18,on-air
3,19,front-page
4,0,on-air
4,1,misc
4,2,on-air
4,3,misc
4,4,on-air
4,5,misc
4,6,on-air
4,7,misc
4,8,on-air
5,0,on-air
5,1,health
5,2,on-air
5,3,misc
5,4,on-air
5,5,misc
5,6,on-air
5,7,misc
5,8,on-air
6,0,on-air
6,1,misc
6,2,front-page
6,3,news
6,4,sports
6,5,news
6,6,living
6,7,opinion
6,8,living
6,9,front-page
6,10,news
6,11,front-page
6,12,news
7,0,on-air
7,1,summary
7,2,misc
7,3,on-air
7,4,summary
7,5,on-air
7,6,summary
7,7,front-page
7,8,sports
8,0,on-air
8,1,local
8,2,tech
8,3,front-page
8,4,sports
8,5,msn-sports
8,6,local
8,7,sports
8,8,local
9,0,on-air
9,1,misc
9,2,on-air
9,3,summary
9,4,misc
9,5,on-air
9,6,misc
9,7,on-air
9,8,misc
9,9,local
9,10,news
9,11,local
9,12,news
9,13,local
9,14,misc
9,15,local
10,0,on-air
10,1,summary
10,2,on-air
10,3,summary
10,4,opinion
10,5,summary
10,6,opinion
10,7,summary
10,8,news
10,9,summary
10,10,misc
10,11,on-air
10,12,summary
10,13,health
10,14,summary
10,15,on-air
10,16,summary
10,17,news
10,18,summary
10,19,living
10,20,on-air
11,0,on-air
11,1,local
11,2,front-page
11,3,health
11,4,front-page
11,5,local
11,6,front-page
11,7,news
11,8,health
11,9,local
11,10,business
12,0,on-air
12,1,front-page
12,2,misc
12,3,news
12,4,front-page
12,5,business
12,6,front-page
12,7,misc
12,8,front-page
12,9,misc
12,10,front-page
12,11,misc
12,12,front-page
13,0,on-air
13,1,health
13,2,front-page
13,3,misc
13,4,front-page
13,5,on-air
13,6,news
13,7,front-page
13,8,misc
13,9,news
13,10,front-page
13,11,misc
13,12,front-page
13,13,misc
14,0,on-air
14,1,front-page
14,2,news
14,3,tech
14,4,news
14,5,front-page
14,6,news
14,7,local
14,8,misc
14,9,local
14,10,misc
14,11,local
14,12,news
14,13,front-page
15,0,on-air
15,1,misc
15,2,on-air
15,3,summary
15,4,health
15,5,summary
15,6,misc
15,7,on-air
15,8,misc
15,9,on-air
15,10,misc
15,11,on-air
15,12,weather
15,13,news
16,0,on-air
16,1,local
16,2,msn-news
16,3,tech
16,4,msn-news
16,5,tech
16,6,msn-news
16,7,tech
16,8,msn-news
17,0,on-air
17,1,msn-news
17,2,front-page
17,3,misc
17,4,front-page
17,5,on-air
17,6,misc
17,7,front-page
17,8,on-air
18,0,on-air
18,1,front-page
18,2,health
18,3,front-page
18,4,health
18,5,front-page
18,6,health
18,7,front-page
18,8,health
18,9,front-page
18,10,news
18,11,front-page
19,0,on-air
19,1,health
19,2,news
19,3,health
19,4,on-air
19,5,health
19,6,on-air
19,7,summary
19,8,on-air
19,9,health
20,0,on-air
20,1,news
20,2,health
20,3,tech
20,4,health
20,5,news
20,6,living
20,7,news
20,8,on-air
20,9,summary
21,0,on-air
21,1,front-page
21,2,misc
21,3,front-page
21,4,misc
21,5,front-page
21,6,on-air
21,7,front-page
21,8,misc
21,9,local
21,10,front-page
21,11,misc
21,12,local
21,13,front-page
21,14,living
21,15,front-page
22,0,on-air
22,1,news
22,2,on-air
22,3,misc
22,4,news
22,5,business
22,6,news
22,7,business
22,8,weather
23,0,on-air
23,1,tech
23,2,front-page
23,3,tech
23,4,misc
23,5,local
23,6,living
23,7,misc
23,8,on-air
23,9,front-page
23,10,on-air
23,11,news
24,0,on-air
24,1,misc
24,2,on-air
24,3,summary
24,4,opinion
24,5,summary
24,6,opinion
24,7,summary
24,8,living
24,9,opinion
25,0,on-air
25,1,msn-news
25,2,msn-sports
25,3,on-air
25,4,msn-news
25,5,msn-sports
25,6,on-air
25,7,msn-news
25,8,msn-sports
26,0,on-air
26,1,front-page
26,2,news
26,3,living
26,4,sports
26,5,tech
26,6,local
26,7,living
26,8,opinion
27,0,on-air
27,1,misc
27,2,news
27,3,on-air
27,4,local
27,5,on-air
27,6,news
27,7,misc
27,8,news
27,9,local
27,10,misc
27,11,local
27,12,news
27,13,local
27,14,news
28,0,on-air
28,1,front-page
28,2,on-air
28,3,front-page
28,4,on-air
28,5,front-page
28,6,on-air
28,7,front-page
28,8,on-air
28,9,front-page
28,10,on-air
28,11,front-page
28,12,health
28,13,front-page
28,14,health
28,15,front-page
29,0,on-air
29,1,msn-news
29,2,msn-sports
29,3,sports
29,4,msn-sports
29,5,msn-news
29,6,business
29,7,sports
29,8,msn-sports
30,0,on-air
30,1,misc
30,2,health
30,3,sports
30,4,news
30,5,sports
30,6,living
30,7,business
30,8,local
30,9,on-air
31,0,on-air
31,1,misc
31,2,on-air
31,3,misc
31,4,on-air
31,5,summary
31,6,misc
31,7,summary
31,8,misc
31,9,summary
31,10,misc
31,11,on-air
32,0,on-air
32,1,news
32,2,health
32,3,news
32,4,local
32,5,front-page
32,6,on-air
32,7,health
32,8,news
32,9,health
32,10,news
32,11,on-air
32,12,misc
32,13,health
32,14,news
32,15,misc
32,16,news
32,17,summary
33,0,on-air
33,1,front-page
33,2,on-air
33,3,front-page
33,4,on-air
33,5,front-page
33,6,sports
33,7,front-page
33,8,sports
33,9,front-page
33,10,sports
33,11,front-page
34,0,on-air
34,1,health
34,2,on-air
34,3,misc
34,4,health
34,5,on-air
34,6,misc
34,7,on-air
34,8,misc
34,9,on-air
34,10,misc
34,11,on-air
34,12,misc
34,13,on-air
34,14,misc
34,15,front-page
35,0,on-air
35,1,misc
35,2,health
35,3,misc
35,4,health
35,5,business
35,6,misc
35,7,on-air
35,8,misc
35,9,on-air
35,10,misc
35,11,front-page
35,12,misc
35,13,on-air
35,14,bbs
35,15,on-air
35,16,misc
35,17,front-page
35,18,on-air
35,19,misc
35,20,health
35,21,misc
35,22,on-air
35,23,misc
35,24,on-air
35,25,misc
35,26,on-air
35,27,misc
35,28,on-air
35,29,misc
36,0,on-air
36,1,misc
36,2,on-air
36,3,summary
36,4,opinion
36,5,summary
36,6,living
36,7,summary
36,8,health
36,9,summary
36,10,health
36,11,summary
36,12,on-air
36,13,summary
36,14,misc
36,15,summary
36,16,opinion
36,17,misc
36,18,summary
36,19,on-air
36,20,misc
36,21,on-air
37,0,on-air
37,1,summary
37,2,on-air
37,3,news
37,4,misc
37,5,local
37,6,sports
37,7,local
37,8,sports
37,9,local
37,10,sports
38,0,on-air
38,1,news
38,2,business
38,3,misc
38,4,local
38,5,on-air
38,6,news
38,7,front-page
38,8,news
39,0,on-air
39,1,front-page
39,2,business
39,3,health
39,4,news
39,5,sports
39,6,misc
39,7,tech
39,8,on-air
39,9,opinion
39,10,living
39,11,on-air
39,12,business
39,13,front-page
39,14,news
39,15,misc
39,16,business
39,17,tech
39,18,health
39,19,living
39,20,sports
39,21,on-air
39,22,opinion
39,23,weather
39,24,news
39,25,front-page
39,26,misc
39,27,summary
39,28,business
39,29,news
39,30,sports
39,31,summary
39,32,health
39,33,living
39,34,opinion
39,35,tech
39,36,weather
39,37,opinion
39,38,on-air
39,39,news
39,40,front-page
39,41,news
39,42,summary
39,43,on-air
40,0,on-air
40,1,misc
40,2,on-air
40,3,misc
40,4,local
40,5,misc
40,6,local
40,7,misc
40,8,local
41,0,on-air
41,1,health
41,2,front-page
41,3,business
41,4,front-page
41,5,misc
41,6,weather
41,7,front-page
41,8,misc
41,9,front-page
42,0,on-air
42,1,misc
42,2,on-air
42,3,misc
42,4,on-air
42,5,misc
42,6,local
42,7,misc
42,8,local
42,9,on-air
42,10,msn-news
43,0,on-air
43,1,misc
43,2,local
43,3,on-air
43,4,misc
43,5,on-air
43,6,misc
43,7,local
43,8,on-air
44,0,on-air
44,1,misc
44,2,on-air
44,3,misc
44,4,on-air
44,5,misc
44,6,on-air
44,7,misc
44,8,on-air
44,9,misc
44,10,weather
45,0,on-air
45,1,summary
45,2,living
45,3,on-air
45,4,summary
45,5,living
45,6,on-air
45,7,summary
45,8,on-air
45,9,summary
45,10,news
45,11,living
46,0,on-air
46,1,tech
46,2,msn-news
46,3,misc
46,4,msn-news
46,5,news
46,6,front-page
46,7,news
46,8,health
47,0,on-air
47,1,front-page
47,2,local
47,3,front-page
47,4,local
47,5,front-page
47,6,local
47,7,front-page
47,8,local
47,9,front-page
47,10,local
47,11,misc
47,12,local
47,13,misc
47,14,front-page
47,15,local
47,16,front-page
47,17,local
47,18,front-page
47,19,local
47,20,front-page
47,21,local
48,0,on-air
48,1,front-page
48,2,weather
48,3,front-page
48,4,weather
48,5,front-page
48,6,weather
48,7,front-page
48,8,weather
48,9,front-page
48,10,weather
48,11,front-page
48,12,weather
48,13,front-page
48,14,weather
48,15,front-page
48,16,weather
48,17,front-page
48,18,weather
48,19,front-page
48,20,weather
49,0,on-air
49,1,misc
49,2,on-air
49,3,summary
49,4,misc
49,5,on-air
49,6,misc
49,7,front-page
49,8,on-air
49,9,opinion
50,0,on-air
50,1,health
50,2,on-air
50,3,misc
50,4,local
50,5,misc
50,6,local
50,7,opinion
50,8,on-air
50,9,news
51,0,on-air
51,1,front-page
51,2,on-air
51,3,living
51,4,news
51,5,local
51,6,living
51,7,misc
51,8,local
52,0,on-air
52,1,front-page
52,2,business
52,3,misc
52,4,local
52,5,health
52,6,tech
52,7,local
52,8,misc
52,9,local
53,0,on-air
53,1,summary
53,2,misc
53,3,on-air
53,4,misc
53,5,on-air
53,6,misc
53,7,on-air
53,8,tech
54,0,on-air
54,1,news
54,2,on-air
54,3,front-page
54,4,news
54,5,on-air
54,6,misc
54,7,local
54,8,misc
54,9,local
55,0,on-air
55,1,local
55,2,on-air
55,3,health
55,4,news
55,5,health
55,6,business
55,7,health
55,8,misc
55,9,health
55,10,local
55,11,living
56,0,on-air
56,1,news
56,2,on-air
56,3,news
56,4,on-air
56,5,news
56,6,local
56,7,on-air
56,8,news
56,9,on-air
56,10,news
56,11,front-page
56,12,on-air
56,13,front-page
56,14,on-air
57,0,on-air
57,1,front-page
57,2,travel
57,3,news
57,4,front-page
57,5,news
57,6,sports
57,7,living
57,8,travel
57,9,local
57,10,living
57,11,tech
58,0,on-air
58,1,misc
58,2,on-air
58,3,misc
58,4,on-air
58,5,tech
58,6,msn-news
58,7,tech
58,8,msn-news
58,9,local
58,10,tech
58,11,local
59,0,on-air
59,1,summary
59,2,on-air
59,3,misc
59,4,on-air
59,5,summary
59,6,misc
59,7,on-air
