seq,count
1,19
2,113
3,41
4,1425
5,38
6,27
7,19
8,19
9,33
10,43
11,23
12,27
13,29
14,29
15,29
16,19
17,19
18,25
19,21
20,21
21,33
22,19
23,25
24,21
25,38
26,19
27,31
28,33
29,19
30,21
31,25
32,37
33,25
34,33
35,61
36,45
37,23
38,19
39,89
40,57
41,21
42,23
43,19
44,23
45,25
46,19
47,45
48,43
49,21
50,21
51,19
52,21
53,19
54,21
55,25
56,31
57,25
58,25
59,25
60,27
61,45
62,19
63,19
64,27
65,21
66,25
67,25
68,21
69,21
70,31
71,19
72,29
73,35
74,41
75,21
76,59
77,38
78,19
79,33
80,19
81,27
82,19
83,126
84,37
85,59
86,19
87,21
88,19
89,19
90,108
91,19
92,23
93,19
94,23
95,21
96,43
97,126
98,21
99,29
100,19
101,45
102,27
103,19
104,21
105,25
106,39
107,19
108,27
109,23
110,19
111,29
112,23
113,19
114,23
115,19
116,29
117,59
118,43
119,27
120,27
121,19
122,19
123,25
124,19
125,21
126,25
127,84
128,19
129,39
130,39
131,27
132,23
133,19
134,29
135,19
136,19
137,39
138,23
139,21
140,23
141,27
142,23
143,19
144,25
145,71
146,21
147,39
148,45
149,39
150,23
151,21
152,19
153,23
154,25
155,19
156,27
157,19
158,23
159,21
160,35
161,27
162,37
163,21
164,19
165,21
166,85
167,21
168,47
169,27
170,19
171,76
172,25
173,45
174,21
175,21
176,27
177,19
178,35
179,21
180,29
181,27
182,23
183,41
184,21
185,21
186,57
187,21
188,19
189,21
190,25
191,19
192,23
193,63
194,23
195,31
196,21
197,19
198,43
199,27
200,51
201,21
202,33
203,38
204,27
205,21
206,19
207,25
208,19
209,95
210,29
211,25
212,19
213,25
214,19
215,38
216,27
217,43
218,23
219,31
220,21
221,23
222,27
223,23
224,23
225,19
226,33
227,19
228,33
229,23
230,81
231,19
232,19
233,43
234,19
235,57
236,19
237,21
238,55
239,25
240,19
241,21
242,33
243,25
244,37
245,19
246,37
247,43
248,23
249,25
250,27
251,58
252,25
253,21
254,19
255,21
256,23
257,19
258,165
259,19
260,27
261,29
262,25
263,19
264,29
265,31
266,21
267,49
268,21
269,31
270,21
271,57
272,21
273,23
274,21
275,31
276,25
277,23
278,23
279,21
280,21
281,19
282,21
283,35
284,19
285,27
286,25
287,27
288,57
289,23
290,21
291,27
292,25
293,59
294,37
295,19
296,35
297,31
298,19
299,21
300,33
301,21
302,25
303,21
304,21
305,23
306,23
307,21
308,31
309,23
310,25
311,25
312,19
313,37
314,114
315,31
316,23
317,25
318,19
319,23
320,63
321,39
322,230
323,27
324,29
325,41
326,21
327,19
328,37
329,21
330,55
331,19
332,19
333,25
334,19
335,19
336,27
337,19
338,19
339,19
340,31
341,19
342,29
343,27
344,21
345,21
346,21
347,19
348,38
349,27
350,21
351,19
352,25
353,38
354,19
355,19
356,41
357,92
358,27
359,21
360,31
361,19
362,19
363,27
364,27
365,57
366,21
367,19
368,19
369,21
370,29
371,21
372,31
373,25
374,23
375,27
376,23
377,42
378,23
379,19
380,23
381,29
382,21
383,23
384,21
385,37
386,19
387,38
388,19
389,23
390,29
391,19
