x,y,value
1,0,sports
1,1,front-page
1,2,news
1,3,travel
1,4,misc
1,5,front-page
1,6,living
1,7,front-page
1,8,news
2,0,sports
2,1,front-page
2,2,local
2,3,front-page
2,4,local
2,5,front-page
2,6,local
2,7,front-page
2,8,local
2,9,front-page
2,10,local
2,11,front-page
2,12,tech
3,0,sports
3,1,front-page
3,2,sports
3,3,front-page
3,4,news
3,5,front-page
3,6,news
3,7,front-page
3,8,news
3,9,front-page
3,10,tech
3,11,front-page
3,12,tech
3,13,front-page
4,0,sports
4,1,front-page
4,2,on-air
4,3,business
4,4,on-air
4,5,misc
4,6,business
4,7,front-page
4,8,misc
4,9,on-air
4,10,misc
5,0,sports
5,1,front-page
5,2,sports
5,3,front-page
5,4,msn-sports
5,5,local
5,6,weather
5,7,misc
5,8,local
5,9,front-page
5,10,local
5,11,front-page
5,12,local
5,13,front-page
5,14,local
5,15,front-page
5,16,weather
5,17,front-page
6,0,sports
6,1,on-air
6,2,business
6,3,local
6,4,business
6,5,weather
6,6,local
6,7,sports
6,8,local
6,9,misc
6,10,local
6,11,on-air
7,0,sports
7,1,front-page
7,2,travel
7,3,front-page
7,4,living
7,5,front-page
7,6,living
7,7,front-page
7,8,living
7,9,front-page
7,10,business
7,11,sports
7,12,front-page
8,0,sports
8,1,misc
8,2,sports
8,3,misc
8,4,tech
8,5,living
8,6,on-air
8,7,misc
8,8,on-air
8,9,misc
8,10,on-air
9,0,sports
9,1,front-page
9,2,travel
9,3,sports
9,4,news
9,5,front-page
9,6,living
9,7,front-page
9,8,tech
9,9,front-page
10,0,sports
10,1,front-page
10,2,sports
10,3,front-page
10,4,misc
10,5,front-page
10,6,tech
10,7,business
10,8,tech
11,0,sports
11,1,msn-sports
11,2,sports
11,3,msn-sports
11,4,misc
11,5,msn-sports
11,6,misc
11,7,msn-sports
11,8,misc
11,9,msn-sports
12,0,sports
12,1,misc
12,2,tech
12,3,health
12,4,tech
12,5,news
12,6,sports
12,7,tech
12,8,local
13,0,sports
13,1,front-page
13,2,travel
13,3,local
13,4,on-air
13,5,local
13,6,business
13,7,sports
13,8,front-page
13,9,news
13,10,sports
13,11,front-page
14,0,sports
14,1,front-page
14,2,sports
14,3,front-page
14,4,news
14,5,front-page
14,6,business
14,7,news
14,8,tech
14,9,sports
15,0,sports
15,1,misc
15,2,sports
15,3,misc
15,4,sports
15,5,misc
15,6,sports
15,7,misc
15,8,sports
15,9,misc
16,0,sports
16,1,front-page
16,2,sports
16,3,front-page
16,4,tech
16,5,front-page
16,6,sports
16,7,front-page
16,8,news
16,9,health
16,10,front-page
16,11,sports
17,0,sports
17,1,front-page
17,2,sports
17,3,front-page
17,4,sports
17,5,front-page
17,6,sports
17,7,front-page
17,8,sports
17,9,front-page
18,0,sports
18,1,local
18,2,news
18,3,local
18,4,on-air
18,5,news
18,6,local
18,7,misc
18,8,local
18,9,misc
18,10,local
18,11,misc
18,12,on-air
18,13,misc
18,14,on-air
19,0,sports
19,1,local
19,2,business
19,3,msn-news
19,4,front-page
19,5,news
19,6,living
19,7,on-air
19,8,news
20,0,sports
20,1,front-page
20,2,sports
20,3,front-page
20,4,sports
20,5,front-page
20,6,sports
20,7,front-page
20,8,sports
20,9,front-page
20,10,sports
21,0,sports
21,1,on-air
21,2,sports
21,3,bbs
21,4,news
21,5,bbs
21,6,local
21,7,bbs
21,8,news
21,9,bbs
21,10,business
21,11,bbs
21,12,business
21,13,bbs
21,14,business
21,15,bbs
22,0,sports
22,1,summary
22,2,on-air
22,3,misc
22,4,on-air
22,5,misc
22,6,on-air
22,7,summary
22,8,on-air
22,9,summary
22,10,opinion
23,0,sports
23,1,msn-news
23,2,front-page
23,3,msn-news
23,4,front-page
23,5,msn-news
23,6,front-page
23,7,local
23,8,misc
23,9,local
23,10,msn-news
23,11,front-page
23,12,local
23,13,front-page
23,14,local
24,0,sports
24,1,msn-sports
24,2,sports
24,3,msn-sports
24,4,sports
24,5,msn-sports
24,6,sports
24,7,msn-sports
24,8,msn-news
24,9,health
24,10,summary
24,11,on-air
24,12,summary
24,13,on-air
24,14,summary
24,15,on-air
24,16,summary
24,17,health
24,18,msn-sports
24,19,local
25,0,sports
25,1,opinion
25,2,front-page
25,3,news
25,4,travel
25,5,front-page
25,6,news
25,7,local
25,8,front-page
25,9,business
25,10,sports
25,11,front-page
25,12,business
25,13,sports
25,14,front-page
25,15,business
25,16,front-page
25,17,health
25,18,sports
26,0,sports
26,1,front-page
26,2,news
26,3,front-page
