seq,count
1,19
2,27
3,29
4,23
5,37
6,25
7,27
8,23
9,21
10,19
11,21
12,19
13,25
14,21
15,42
16,25
17,126
18,31
19,19
20,46
21,33
22,23
23,31
24,41
25,39
26,23
27,41
28,43
29,203
30,23
31,23
32,19
33,19
34,27
35,19
36,19
37,33
38,23
39,27
40,19
41,19
42,38
43,21
44,21
45,19
46,19
47,69
48,31
49,21
50,27
51,45
52,29
53,19
54,21
55,27
56,57
57,33
58,23
59,25
60,21
61,29
62,29
63,27
64,21
65,19
66,37
67,25
68,25
69,39
70,19
71,95
72,25
73,19
74,39
75,25
76,21
77,21
78,41
79,19
80,67
81,27
82,21
83,19
84,74
85,19
86,23
87,23
88,49
89,100
90,27
91,35
92,21
93,39
94,37
95,19
96,25
97,21
98,41
99,63
100,23
101,31
102,31
103,21
104,33
105,21
106,25
107,35
108,29
109,21
110,25
111,19
112,21
113,39
114,19
115,25
116,35
117,59
118,25
119,21
120,35
121,35
122,21
123,35
124,21
125,27
126,23
127,25
128,19
129,21
130,37
131,23
132,23
133,19
134,19
135,27
136,33
137,21
138,19
139,21
140,29
141,19
142,19
143,19
144,41
145,23
146,19
147,25
148,35
149,21
150,62
151,51
152,23
153,19
154,19
155,33
156,29
157,19
158,29
159,77
160,19
161,23
162,25
163,21
164,29
165,21
166,23
167,57
168,23
169,53
170,19
171,57
172,23
173,23
174,27
175,25
176,23
177,27
178,41
179,19
180,25
181,19
182,23
183,31
184,29
185,23
186,21
187,19
188,111
189,25
190,21
191,25
192,49
193,21
194,53
195,31
196,21
197,81
198,27
199,29
200,21
201,79
202,21
203,19
204,29
205,25
206,27
207,25
208,23
209,31
210,43
211,37
212,29
213,25
214,21
215,19
216,23
217,21
218,19
219,27
220,25
221,31
222,19
223,35
224,33
225,19
226,19
227,19
228,25
229,23
230,19
231,21
232,23
233,19
234,21
235,19
236,25
237,19
238,25
239,19
240,21
241,35
242,27
243,33
244,25
245,23
246,19
247,21
248,23
249,23
250,19
251,29
252,25
253,33
254,55
255,19
256,51
257,77
258,27
259,23
260,81
261,29
262,23
263,19
264,23
265,49
266,131
267,23
268,41
269,21
270,47
271,19
272,19
273,29
274,21
275,19
276,35
277,25
278,27
279,31
280,31
281,89
282,23
283,95
284,23
285,43
286,67
287,83
288,21
289,21
290,19
291,19
292,19
293,41
294,33
295,33
296,21
297,45
298,19
299,19
300,41
301,23
302,25
303,59
304,37
305,19
306,23
307,25
308,21
309,23
310,19
311,29
312,29
313,33
314,23
315,37
316,27
317,21
318,19
319,21
320,21
321,19
322,49
323,27
324,39
325,23
326,27
327,19
328,25
329,23
330,21
331,19
332,27
333,39
334,19
335,19
336,19
337,45
338,21
339,25
340,19
341,19
342,25
343,21
344,43
345,25
346,75
347,61
348,23
349,59
350,23
351,27
352,99
353,21
354,19
355,33
356,21
357,31
358,25
359,25
360,23
361,27
362,19
363,29
364,23
365,27
366,35
367,38
368,21
369,19
370,23
371,29
372,23
373,19
374,19
375,27
376,37
377,31
