seq,count
1,21
2,21
3,21
4,19
5,19
6,21
7,19
8,21
9,33
10,19
11,19
12,113
13,21
14,27
15,19
16,25
17,41
18,29
19,27
20,21
21,23
22,25
23,19
24,43
25,21
26,49
27,35
28,65
29,65
30,21
31,21
32,33
33,27
34,27
35,27
36,23
37,21
38,19
39,29
40,27
41,31
42,23
43,19
44,59
45,41
46,49
47,19
48,45
49,21
50,21
51,21
52,23
53,31
54,25
55,21
56,23
57,25
58,27
59,21
60,25
61,19
62,41
63,29
64,25
65,27
66,65
67,23
68,21
69,21
70,19
71,19
72,21
73,21
74,19
75,63
76,43
77,19
78,51
79,19
80,37
81,19
82,19
83,43
84,23
85,23
86,67
87,23
88,27
89,23
90,19
91,19
92,19
93,21
94,31
95,23
96,85
97,23
98,21
99,19
100,19
101,23
102,27
103,19
104,21
105,19
106,23
107,37
108,55
109,113
110,23
111,33
112,21
113,43
114,19
115,29
116,37
117,19
118,19
119,21
120,135
121,21
122,31
123,47
124,19
125,33
126,19
127,19
128,47
129,25
130,19
131,23
132,27
133,47
134,27
135,21
136,73
137,33
138,21
139,47
140,43
141,33
142,19
143,45
144,23
145,29
146,43
147,25
148,19
149,33
150,41
151,45
152,19
153,21
154,19
155,23
156,21
157,23
158,27
159,58
160,25
161,41
162,31
163,21
164,55
165,25
166,59
167,41
168,21
169,53
170,25
171,125
172,19
173,23
174,19
175,21
176,21
177,63
178,19
179,21
180,19
181,21
182,19
183,33
184,21
185,25
186,23
187,19
188,21
189,21
190,33
191,23
192,45
193,23
194,23
195,45
196,37
197,21
198,23
199,19
200,19
201,21
202,21
203,19
204,25
205,19
206,19
207,19
208,19
209,19
210,31
211,19
212,21
213,21
214,29
215,23
216,23
217,47
218,29
219,21
220,27
221,19
222,53
223,21
224,43
225,25
226,19
227,31
228,25
229,25
230,21
231,19
232,19
233,55
234,19
235,23
236,25
237,67
238,25
239,37
240,23
241,21
242,25
243,43
244,23
245,23
246,19
247,23
248,31
249,27
250,19
251,25
252,19
253,21
254,29
255,19
256,23
257,39
258,19
259,21
260,19
261,19
262,29
263,21
264,33
265,29
266,38
267,19
268,25
269,25
270,69
271,19
272,37
273,19
274,65
275,33
276,29
277,25
278,25
279,31
280,19
281,43
282,19
283,19
284,21
285,21
286,29
287,35
288,27
289,25
290,27
291,21
292,35
293,19
294,21
295,39
296,31
297,41
298,27
299,47
300,23
301,35
302,21
303,27
304,135
305,23
306,31
307,37
308,19
309,19
310,51
311,27
312,19
313,21
314,19
315,19
316,19
317,21
318,23
319,39
320,111
321,25
322,31
323,23
324,19
325,25
326,19
327,23
328,27
329,31
330,25
331,19
332,21
333,45
334,31
335,25
336,23
337,21
338,39
339,35
340,19
341,33
342,23
343,19
344,49
345,33
346,23
347,19
348,25
349,31
350,29
351,19
352,45
353,19
354,19
355,19
356,47
357,19
358,29
359,21
360,25
361,19
362,45
363,37
364,19
365,25
366,23
367,41
368,19
369,23
370,35
371,25
372,19
373,27
374,19
375,23
376,21
377,25
378,23
379,21
380,99
381,27
382,21
383,35
384,21
385,27
386,21
387,21
388,19
389,37
390,25
391,19
392,57
393,21
394,21
395,65
396,33
397,19
398,33
399,23
400,49
401,21
402,19
403,23
404,19
405,19
406,37
407,47
408,23
409,25
410,27
411,61
412,23
413,19
414,19
415,23
416,21
417,19
418,31
419,31
420,19
421,31
422,25
423,19
424,21
425,85
426,19
427,23
428,21
429,21
430,83
431,53
432,19
433,25
434,27
435,25
436,43
437,21
438,21
439,21
440,41
441,45
442,25
443,19
444,19
445,21
446,21
447,21
448,23
449,19
450,21
451,23
452,25
453,41
454,25
455,19
456,35
457,43
458,31
459,23
460,21
461,53
462,47
463,25
464,25
465,23
466,19
467,19
468,39
469,23
470,21
471,21
472,21
473,21
474,21
475,25
476,23
477,33
478,37
479,29
480,31
481,27
482,49
483,29
484,27
485,39
486,33
487,21
488,123
489,75
490,27
491,21
492,51
493,21
494,33
495,21
496,19
497,21
498,101
499,33
500,67
501,35
502,19
503,21
504,43
505,19
506,21
507,19
