x,y,value
1,0,tools
1,1,clothing
2,0,clothing
2,1,tools
3,0,handbags
3,1,tools
4,0,tools
4,1,shoes
5,0,clothing
5,1,tools
6,0,clothing
6,1,tools
7,0,handbags
7,1,tools
8,0,clothing
8,1,tools
9,0,tools
9,1,handbags
10,0,tools
10,1,clothing
11,0,tools
11,1,clothing
11,2,handbags
12,0,handbags
12,1,tools
13,0,clothing
13,1,tools
14,0,clothing
14,1,handbags
14,2,tools
15,0,clothing
15,1,tools
16,0,tools
16,1,handbags
17,0,handbags
17,1,tools
18,0,tools
18,1,handbags
19,0,clothing
19,1,tools
20,0,clothing
20,1,tools
21,0,handbags
21,1,tools
22,0,handbags
22,1,tools
23,0,tools
23,1,home&garden
24,0,shoes
24,1,tools
25,0,clothing
25,1,tools
26,0,clothing
26,1,tools
27,0,tools
27,1,clothing
28,0,clothing
28,1,tools
29,0,tools
29,1,handbags
30,0,handbags
30,1,tools
31,0,clothing
31,1,tools
32,0,tools
32,1,clothing
33,0,clothing
33,1,tools
34,0,tools
34,1,handbags
35,0,clothing
35,1,tools
36,0,handbags
36,1,tools
37,0,tools
37,1,clothing
38,0,tools
38,1,clothing
39,0,handbags
39,1,tools
40,0,clothing
40,1,tools
41,0,games
41,1,electronics
41,2,computers
41,3,home&garden
41,4,handbags
41,5,tools
42,0,handbags
42,1,tools
43,0,tools
43,1,clothing
44,0,clothing
44,1,tools
45,0,shoes
45,1,tools
46,0,tools
46,1,shoes
47,0,clothing
47,1,books
47,2,tools
48,0,home&garden
48,1,handbags
48,2,clothing
48,3,tools
49,0,clothing
49,1,tools
50,0,handbags
50,1,tools
51,0,tools
51,1,clothing
52,0,tools
52,1,handbags
53,0,handbags
53,1,tools
54,0,tools
54,1,clothing
55,0,handbags
55,1,clothing
55,2,tools
56,0,clothing
56,1,tools
57,0,clothing
57,1,tools
58,0,clothing
58,1,tools
59,0,tools
59,1,handbags
60,0,tools
60,1,clothing
61,0,handbags
61,1,tools
62,0,clothing
62,1,tools
63,0,handbags
63,1,tools
64,0,clothing
64,1,tools
65,0,computers
65,1,tools
66,0,tools
66,1,handbags
67,0,clothing
67,1,tools
68,0,handbags
68,1,tools
69,0,tools
69,1,clothing
70,0,handbags
70,1,tools
71,0,clothing
71,1,tools
