x,count
1,44
2,44
3,44
4,44
5,96
6,96
7,96
8,96
9,64
10,64
11,64
12,64
13,8
14,8
15,8
16,8
17,96
18,96
19,96
20,96
21,96
22,96
23,96
24,96
25,64
26,64
27,64
28,64
29,96
30,96
31,96
32,96
33,32
34,32
35,32
36,32
37,44
38,44
39,44
40,44
41,5
42,5
43,5
44,5
45,5
46,64
47,64
48,64
49,64
50,96
51,96
52,96
53,96
54,5
55,5
56,5
57,5
58,5
59,96
60,96
61,96
62,96
63,32
64,32
65,32
66,32
67,64
68,64
69,64
70,64
71,32
72,32
73,32
74,32
75,96
76,96
77,96
78,96
79,96
80,96
81,96
82,96
83,64
84,64
85,64
86,64
87,64
88,64
89,64
90,64
91,4
92,4
93,4
94,4
95,8
96,8
97,8
98,8
99,96
100,96
101,96
102,96
103,96
104,96
105,96
106,96
107,44
108,44
109,44
110,44
111,96
112,96
113,96
114,96
115,32
116,32
117,32
118,32
119,64
120,64
121,64
122,64
123,96
124,96
125,96
126,96
127,44
128,44
129,44
130,44
131,96
132,96
133,96
134,96
135,32
136,32
137,32
138,32
139,96
140,96
141,96
142,96
143,64
144,64
145,64
146,64
147,44
148,44
149,44
150,44
151,44
152,44
153,44
154,44
155,64
156,64
157,64
158,64
159,96
160,96
161,96
162,96
163,8
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,64
172,64
173,64
174,64
175,44
176,44
177,44
178,44
179,96
180,96
181,96
182,96
183,8
184,8
185,8
186,8
187,8
188,8
189,8
190,8
191,5
192,5
193,5
194,5
195,5
196,6
197,6
198,6
199,6
200,6
201,6
202,96
203,96
204,96
205,96
206,64
207,64
208,64
209,64
210,44
211,44
212,44
213,44
214,32
215,32
216,32
217,32
218,64
219,64
220,64
221,64
222,44
223,44
224,44
225,44
226,5
227,5
228,5
229,5
230,5
231,96
232,96
233,96
234,96
235,96
236,96
237,96
238,96
239,96
240,96
241,96
242,96
243,32
244,32
245,32
246,32
247,44
248,44
249,44
250,44
251,64
252,64
253,64
254,64
255,96
256,96
257,96
258,96
259,64
260,64
261,64
262,64
263,96
264,96
265,96
266,96
267,4
268,4
269,4
270,4
271,32
272,32
273,32
274,32
275,96
276,96
277,96
278,96
279,64
280,64
281,64
282,64
283,44
284,44
285,44
286,44
287,64
288,64
289,64
290,64
291,96
292,96
293,96
294,96
